business_name,phone,address,website,category,rating,review_count,yelp_url,price_range,neighborhood,hours,description,image_url,latitude,longitude,scraped_date,search_query,search_location
Sakura Sushi Bar,(396) 353-4145,"123 Pine Street, New York, NY 10003",https://sakurasushi.com,Japanese Restaurant,4.2,677,https://yelp.com/biz/sakura-sushi-nyc,$,Upper East Side,"Tue-Sun: 5PM-10PM, Closed Monday",Fresh sushi and traditional Japanese dishes,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
The Burger Joint,(276) 582-2321,"678 Oak Avenue, New York, NY 10002",https://burgerjoint.com,American Restaurant,4.9,194,https://yelp.com/biz/burger-joint-nyc,$,Midtown,Daily: 11AM-11PM,Gourmet burgers made with locally sourced beef,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
Sakura Sushi Bar,(393) 475-9558,"123 Pine Street, New York, NY 10003",https://sakurasushi.com,Japanese Restaurant,4.8,213,https://yelp.com/biz/sakura-sushi-nyc,$,Upper East Side,"Tue-Sun: 5PM-10PM, Closed Monday",Fresh sushi and traditional Japanese dishes,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
The Burger Joint,(862) 892-4168,"678 Oak Avenue, New York, NY 10002",https://burgerjoint.com,American Restaurant,5.0,762,https://yelp.com/biz/burger-joint-nyc,$$$,Midtown,Daily: 11AM-11PM,Gourmet burgers made with locally sourced beef,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
Sakura Sushi Bar,(241) 293-3065,"123 Pine Street, New York, NY 10003",https://sakurasushi.com,Japanese Restaurant,4.2,605,https://yelp.com/biz/sakura-sushi-nyc,$$$,Upper East Side,"Tue-Sun: 5PM-10PM, Closed Monday",Fresh sushi and traditional Japanese dishes,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
Sakura Sushi Bar,(950) 459-2116,"123 Pine Street, New York, NY 10003",https://sakurasushi.com,Japanese Restaurant,4.4,644,https://yelp.com/biz/sakura-sushi-nyc,$,Upper East Side,"Tue-Sun: 5PM-10PM, Closed Monday",Fresh sushi and traditional Japanese dishes,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
The Burger Joint,(595) 683-3560,"678 Oak Avenue, New York, NY 10002",https://burgerjoint.com,American Restaurant,3.5,101,https://yelp.com/biz/burger-joint-nyc,$,Midtown,Daily: 11AM-11PM,Gourmet burgers made with locally sourced beef,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
Bella Vista Italian Restaurant,(742) 564-1438,"245 Main Street, New York, NY 10001",https://bellavistanyc.com,Italian Restaurant,4.0,694,https://yelp.com/biz/bella-vista-italian-nyc,$$$,Downtown,"Mon-Thu: 5PM-10PM, Fri-Sat: 5PM-11PM, Sun: 4PM-9PM",Authentic Italian cuisine with fresh ingredients,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
Bella Vista Italian Restaurant,(736) 790-9248,"245 Main Street, New York, NY 10001",https://bellavistanyc.com,Italian Restaurant,3.7,669,https://yelp.com/biz/bella-vista-italian-nyc,$$$,Downtown,"Mon-Thu: 5PM-10PM, Fri-Sat: 5PM-11PM, Sun: 4PM-9PM",Authentic Italian cuisine with fresh ingredients,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
Bella Vista Italian Restaurant,(951) 417-6281,"245 Main Street, New York, NY 10001",https://bellavistanyc.com,Italian Restaurant,4.5,42,https://yelp.com/biz/bella-vista-italian-nyc,$$,Downtown,"Mon-Thu: 5PM-10PM, Fri-Sat: 5PM-11PM, Sun: 4PM-9PM",Authentic Italian cuisine with fresh ingredients,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
Bella Vista Italian Restaurant,(303) 383-5150,"245 Main Street, New York, NY 10001",https://bellavistanyc.com,Italian Restaurant,3.9,400,https://yelp.com/biz/bella-vista-italian-nyc,$,Downtown,"Mon-Thu: 5PM-10PM, Fri-Sat: 5PM-11PM, Sun: 4PM-9PM",Authentic Italian cuisine with fresh ingredients,,0.0,0.0,2025-09-09 16:03:48,restaurants,"New York, NY"
