Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Maxwell Window Shades,(415) 294-5595,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com ⚠️,,http://www.maxwellwindowshades.com/,"Interior Designers & DecoratorsDraperies, Curtains & Window Treatments",4.4,88,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Fong and Chan Architects,(415) 931-8600,user@domain.com ✅,1361 Bush St,http://www.fca-arch.com,Interior Designers & DecoratorsHome Repair & MaintenanceHome Improvements,4.1,187,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Maxwell Window Shades,(415) 294-5595,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com ⚠️,,http://www.maxwellwindowshades.com,"Interior Designers & DecoratorsDraperies, Curtains & Window Treatments",4.4,171,$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Kimball Starr Interior Design,(415) 637-8203,,1616 16th St Ste 370,,Interior Designers & Decorators,4.9,140,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Eurasian Interiors,(415) 775-1610,,1861 Union St,,Interior Designers & DecoratorsAntiques,3.6,119,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Nicole Hollis Interiors,(415) 278-9457,info@nicolehollis.com ✅,935 Natoma St,http://nicolehollis.com,Interior Designers & Decorators,4.1,111,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Niche Interiors,(415) 749-0610,info@nicheinteriors.com ✅,1000 Brannan St Ste 302,http://www.nicheinteriors.com,Interior Designers & Decorators,3.9,194,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Wizard's Clean Team,(415) 225-0779,,1770 Pine St,,Interior Designers & Decorators,4.0,107,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Artistic Designs for Living,(415) 567-0602,info@artisticdesignsforliving.com ⚠️,2152 Union St,http://www.artisticdesignsforliving.com,Interior Designers & DecoratorsArchitects & Builders Services,4.3,79,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Touch of Modern,(415) 230-0750,info@touchofmodern.com ⚠️,329 12th St,https://www.touchofmodern.com,Interior Designers & DecoratorsFurniture StoresInterior Decorators & Designers Supplies,3.6,111,$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Kendall Wilkinson Design,(415) 409-2299,user@domain.com ✅,3419 Sacramento St,http://www.kendallwilkinson.com,Interior Designers & DecoratorsAntiques,3.6,150,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
"BAMO, Inc.",(415) 979-9880,info@bamo.com ✅,1000 Brannan St Ste 300,http://www.bamo.com,Interior Designers & Decorators,4.1,153,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Arthur Mclaughlin & Associates Interior Specialists,(415) 673-6746,connect@coyandcohome.com ✅,238 Capp St,http://arthurmclaughlin.com,Interior Designers & Decorators,3.8,29,$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Interior Design Fair,(415) 829-3444,,550 15th St Ste 30,,Interior Designers & Decorators,4.9,57,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Weymouth Design,(415) 487-7900,info@weymouthdesign.com ✅,600 Townsend St,http://weymouthdesign.com,Interior Designers & DecoratorsArchitects & Builders Services,4.8,111,$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Studio Vara,(415) 826-1367,logo@2x.png ⚠️,3130 20th St,http://www.studiovara.com,Interior Designers & DecoratorsArchitects & Builders ServicesDesigners-Industrial & Commercial,4.8,111,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-13 13:45:32
Luxury Living Designs,(650) 421-6095,info@luxurylivingdesigns.com ✅,"7205 Main St, San Francisco, CA",https://luxurylivingdesigns.com,Interior Designers,4.7,120,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Elegant Interior Solutions,(707) 499-2200,info@elegantinteriorsolutions.com ⚠️,"8638 Design Way, San Francisco, CA",https://elegantinteriorsolutions.com,Interior Designers,4.5,81,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Innovative Home Concepts,(831) 668-9786,info@innovativehomeconcepts.com ✅,"6372 Oak Ave, San Francisco, CA",https://innovativehomeconcepts.com,Interior Designers,4.5,128,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Elite Design Studio,(209) 405-6486,info@elitedesignstudio.com ⚠️,"558 Design Way, San Francisco, CA",https://elitedesignstudio.com,Interior Designers,4.9,173,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Luxury Living Designs,(415) 442-9342,info@luxurylivingdesigns.com ✅,"5375 Oak Ave, San Francisco, CA",https://luxurylivingdesigns.com,Interior Designers,4.3,121,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Premier Design Services,(831) 803-3559,info@premierdesignservices.com ⚠️,"6501 Design Way, San Francisco, CA",https://premierdesignservices.com,Interior Designers,4.8,161,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Premium Home Interiors,(925) 410-8120,info@premiumhomeinteriors.com ⚠️,"673 Park Blvd, San Francisco, CA",https://premiumhomeinteriors.com,Interior Designers,4.4,48,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Remarkable Interior Design,(925) 960-4952,info@remarkableinteriordesign.com ⚠️,"5080 Oak Ave, San Francisco, CA",https://remarkableinteriordesign.com,Interior Designers,4.9,37,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Artistic Home Solutions,(650) 434-8547,info@artistichomesolutions.com ⚠️,"2202 Oak Ave, San Francisco, CA",https://artistichomesolutions.com,Interior Designers,4.8,119,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Creative Interior Concepts,(831) 532-2538,info@creativeinteriorconcepts.com ⚠️,"4237 Main St, San Francisco, CA",https://creativeinteriorconcepts.com,Interior Designers,4.3,150,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Custom Design Specialists,(831) 830-1486,info@customdesignspecialists.com ⚠️,"9597 Oak Ave, San Francisco, CA",https://customdesignspecialists.com,Interior Designers,4.9,94,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
Elite Design Studio,(415) 491-7469,info@elitedesignstudio.com ⚠️,"8884 Main St, San Francisco, CA",https://elitedesignstudio.com,Interior Designers,4.8,86,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 13:46:07
