Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Innovative Home Concepts,(707) 322-8983,info@innovativehomeconcepts.com ✅,"8462 Main St, New York, NY",https://innovativehomeconcepts.com,Interior Designers,4.7,194,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 22:50:09
Innovative Home Concepts,(650) 864-2255,info@innovativehomeconcepts.com ✅,"8453 Oak Ave, New York, NY",https://innovativehomeconcepts.com,Interior Designers,4.6,170,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 22:50:09
Signature Interior Design,(415) 705-7284,info@signatureinteriordesign.com ⚠️,"9403 Oak Ave, New York, NY",https://signatureinteriordesign.com,Interior Designers,5.0,137,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 22:50:09
Artistic Home Solutions,(209) 954-6126,info@artistichomesolutions.com ⚠️,"2356 Main St, New York, NY",https://artistichomesolutions.com,Interior Designers,4.5,143,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 22:50:09
Impressive Design Studio,(415) 816-4700,info@impressivedesignstudio.com ⚠️,"597 Park Blvd, New York, NY",https://impressivedesignstudio.com,Interior Designers,4.6,164,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 22:50:09
Elegant Interior Solutions,(925) 791-9867,info@elegantinteriorsolutions.com ⚠️,"8236 Park Blvd, New York, NY",https://elegantinteriorsolutions.com,Interior Designers,4.3,91,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 22:50:09
Impressive Design Studio,(831) 691-1263,info@impressivedesignstudio.com ⚠️,"4292 Oak Ave, New York, NY",https://impressivedesignstudio.com,Interior Designers,4.5,93,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 22:50:09
Signature Interior Design,(408) 439-7519,info@signatureinteriordesign.com ⚠️,"5988 Creative Dr, New York, NY",https://signatureinteriordesign.com,Interior Designers,4.6,66,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 22:50:09
Exclusive Home Solutions,(510) 310-1338,info@exclusivehomesolutions.com ✅,"9154 Park Blvd, New York, NY",https://exclusivehomesolutions.com,Interior Designers,4.3,179,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 22:50:09
Contemporary Living Spaces,(707) 756-9610,info@contemporarylivingspaces.com ⚠️,"9279 Oak Ave, New York, NY",https://contemporarylivingspaces.com,Interior Designers,4.8,162,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 22:50:09
