business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Contemporary Living Spaces,(209) 373-5195,info@contemporarylivingspaces.com ⚠️,"4315 Park Blvd, New York, NY",https://contemporarylivingspaces.com,Interior Designers,4.3,31,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,False,unknown,n/a
Remarkable Interior Design,(925) 745-7889,info@remarkableinteriordesign.com ⚠️,"6540 Oak Ave, New York, NY",https://remarkableinteriordesign.com,Interior Designers,4.6,26,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,False,unknown,n/a
Impressive Design Studio,(925) 912-1953,info@impressivedesignstudio.com ⚠️,"4592 Main St, New York, NY",https://impressivedesignstudio.com,Interior Designers,5.0,54,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,False,unknown,n/a
Beautiful Spaces Design,(650) 825-3773,info@beautifulspacesdesign.com ⚠️,"9548 Creative Dr, New York, NY",https://beautifulspacesdesign.com,Interior Designers,5.0,177,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,False,unknown,n/a
Luxury Living Designs,(209) 756-5541,info@luxurylivingdesigns.com ✅,"8185 Oak Ave, New York, NY",https://luxurylivingdesigns.com,Interior Designers,4.9,142,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,True,unknown,n/a
Exclusive Home Solutions,(209) 444-7158,info@exclusivehomesolutions.com ✅,"3174 Oak Ave, New York, NY",https://exclusivehomesolutions.com,Interior Designers,4.7,108,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,True,unknown,n/a
Timeless Design Company,(831) 487-3609,info@timelessdesigncompany.com ⚠️,"1086 Main St, New York, NY",https://timelessdesigncompany.com,Interior Designers,4.7,96,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,False,unknown,n/a
Impressive Design Studio,(831) 797-9556,info@impressivedesignstudio.com ⚠️,"2780 Main St, New York, NY",https://impressivedesignstudio.com,Interior Designers,4.4,35,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,False,unknown,n/a
Impressive Design Studio,(209) 493-9348,info@impressivedesignstudio.com ⚠️,"7727 Oak Ave, New York, NY",https://impressivedesignstudio.com,Interior Designers,4.8,70,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,False,unknown,n/a
Premier Design Services,(707) 248-1476,info@premierdesignservices.com ⚠️,"6469 Park Blvd, New York, NY",https://premierdesignservices.com,Interior Designers,4.7,99,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,False,unknown,n/a
Contemporary Living Spaces,(408) 671-5683,info@contemporarylivingspaces.com ⚠️,"5598 Main St, New York, NY",https://contemporarylivingspaces.com,Interior Designers,4.6,46,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:55:10,Houzz,False,unknown,n/a
