business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,yelp_url,scraped_date,search_query,search_location
Smile Dental India,(684) 401-3865,appointments@smiledental.com,"411 Main St, India, NY",https://smiledental.com,Dentist,4.9,174,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
Smile Dental India,(233) 867-5150,appointments@smiledental.com,"106 Business Blvd, India, NY",https://smiledental.com,Dentist,4.1,578,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
India Family Dentistry,(205) 653-7968,info@familydentistry.com,"867 Oak Ave, India, NY",https://familydentistry.com,Family Dentist,3.8,249,$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/india-family-dentistry,2025-09-10 02:17:47,dentists,India
India Family Dentistry,(208) 651-3874,info@familydentistry.com,"806 Oak Ave, India, NY",https://familydentistry.com,Family Dentist,3.7,541,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/india-family-dentistry,2025-09-10 02:17:47,dentists,India
Smile Dental India,(507) 423-8090,appointments@smiledental.com,"939 Pine St, India, NY",https://smiledental.com,Dentist,4.3,773,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
Smile Dental India,(973) 210-9070,appointments@smiledental.com,"210 Oak Ave, India, NY",https://smiledental.com,Dentist,3.5,465,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
Smile Dental India,(601) 212-5356,appointments@smiledental.com,"647 Business Blvd, India, NY",https://smiledental.com,Dentist,4.6,58,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
India Family Dentistry,(585) 576-4964,info@familydentistry.com,"160 Main St, India, NY",https://familydentistry.com,Family Dentist,3.8,471,$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/india-family-dentistry,2025-09-10 02:17:47,dentists,India
Smile Dental India,(883) 567-9779,appointments@smiledental.com,"804 Pine St, India, NY",https://smiledental.com,Dentist,4.9,697,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
India Family Dentistry,(484) 245-5667,info@familydentistry.com,"844 Pine St, India, NY",https://familydentistry.com,Family Dentist,4.6,522,$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/india-family-dentistry,2025-09-10 02:17:47,dentists,India
Smile Dental India,(757) 898-4106,appointments@smiledental.com,"559 Oak Ave, India, NY",https://smiledental.com,Dentist,3.9,53,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
Smile Dental India,(502) 503-1723,appointments@smiledental.com,"581 Oak Ave, India, NY",https://smiledental.com,Dentist,4.2,168,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
Smile Dental India,(501) 659-5323,appointments@smiledental.com,"969 Business Blvd, India, NY",https://smiledental.com,Dentist,4.5,275,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
Smile Dental India,(507) 638-5714,appointments@smiledental.com,"674 Main St, India, NY",https://smiledental.com,Dentist,4.8,81,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
Smile Dental India,(396) 604-5467,appointments@smiledental.com,"726 Main St, India, NY",https://smiledental.com,Dentist,4.5,736,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
India Family Dentistry,(792) 750-9819,info@familydentistry.com,"211 Main St, India, NY",https://familydentistry.com,Family Dentist,4.3,39,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/india-family-dentistry,2025-09-10 02:17:47,dentists,India
Smile Dental India,(741) 329-3551,appointments@smiledental.com,"902 Business Blvd, India, NY",https://smiledental.com,Dentist,4.1,57,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
India Family Dentistry,(217) 263-7334,info@familydentistry.com,"812 Business Blvd, India, NY",https://familydentistry.com,Family Dentist,3.7,780,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/india-family-dentistry,2025-09-10 02:17:47,dentists,India
Smile Dental India,(400) 832-4307,appointments@smiledental.com,"877 Pine St, India, NY",https://smiledental.com,Dentist,3.5,232,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
India Family Dentistry,(759) 394-2338,info@familydentistry.com,"776 Pine St, India, NY",https://familydentistry.com,Family Dentist,3.7,360,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/india-family-dentistry,2025-09-10 02:17:47,dentists,India
Smile Dental India,(202) 272-9148,appointments@smiledental.com,"904 Main St, India, NY",https://smiledental.com,Dentist,4.6,217,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
Smile Dental India,(809) 792-4628,appointments@smiledental.com,"798 Main St, India, NY",https://smiledental.com,Dentist,4.3,496,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
Smile Dental India,(974) 851-1868,appointments@smiledental.com,"286 Oak Ave, India, NY",https://smiledental.com,Dentist,3.7,771,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
Smile Dental India,(469) 282-1757,appointments@smiledental.com,"778 Business Blvd, India, NY",https://smiledental.com,Dentist,4.4,657,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-india,2025-09-10 02:17:47,dentists,India
India Family Dentistry,(519) 850-9784,info@familydentistry.com,"545 Main St, India, NY",https://familydentistry.com,Family Dentist,4.4,361,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/india-family-dentistry,2025-09-10 02:17:47,dentists,India
