business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Refined Home Interiors,(707) 376-1870,info@refinedhomeinteriors.com ⚠️,"6543 Park Blvd, New York, NY",https://refinedhomeinteriors.com,Interior Designers,4.6,140,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-15 01:09:52,Houzz,False,unknown,n/a
Elite Design Studio,(707) 674-3124,info@elitedesignstudio.com ⚠️,"7293 Design Way, New York, NY",https://elitedesignstudio.com,Interior Designers,4.9,187,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-15 01:09:52,Houzz,False,unknown,n/a
Refined Home Interiors,(831) 992-4885,info@refinedhomeinteriors.com ⚠️,"3861 Park Blvd, New York, NY",https://refinedhomeinteriors.com,Interior Designers,4.3,114,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-15 01:09:52,Houzz,False,unknown,n/a
Premier Design Services,(415) 831-4969,info@premierdesignservices.com ⚠️,"9626 Main St, New York, NY",https://premierdesignservices.com,Interior Designers,4.5,40,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-15 01:09:52,Houzz,False,unknown,n/a
Premier Design Services,(209) 317-1624,info@premierdesignservices.com ⚠️,"5453 Oak Ave, New York, NY",https://premierdesignservices.com,Interior Designers,4.8,151,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-15 01:09:52,Houzz,False,unknown,n/a
Premier Design Services,(925) 431-5486,info@premierdesignservices.com ⚠️,"5484 Main St, New York, NY",https://premierdesignservices.com,Interior Designers,4.6,200,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-15 01:09:52,Houzz,False,unknown,n/a
Stylish Home Concepts,(831) 522-3416,info@stylishhomeconcepts.com ⚠️,"6090 Design Way, New York, NY",https://stylishhomeconcepts.com,Interior Designers,4.6,191,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-15 01:09:52,Houzz,False,unknown,n/a
Outstanding Home Solutions,(209) 929-6690,info@outstandinghomesolutions.com ⚠️,"4032 Park Blvd, New York, NY",https://outstandinghomesolutions.com,Interior Designers,4.3,92,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-15 01:09:52,Houzz,False,unknown,n/a
Elegant Interior Solutions,(408) 345-1854,info@elegantinteriorsolutions.com ⚠️,"8813 Creative Dr, New York, NY",https://elegantinteriorsolutions.com,Interior Designers,4.7,54,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-15 01:09:52,Houzz,False,unknown,n/a
Classic Home Renovations,(831) 761-3124,office@classichomerenovations.com ✅,"710 Park Blvd, New York, NY",https://classichomerenovations.com,Interior Designers,4.4,185,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-15 01:09:52,Houzz,True,unknown,n/a
