business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Bella Vista New York,(305) 215-8740,connect@bellavista.com,"2665 Madison Street, New York, NY",https://bellavista.com,Italian Restaurant,4.3,301,$$$$,East Side,Tue-Sat: 9AM-7PM,Professional italian restaurant serving New York and surrounding areas,2025-09-13 23:30:42,Yelp,False,unknown,n/a
Golden Dragon New York,(764) 757-9924,hello@goldendragon.com,"1417 Lincoln Avenue, New York, NY",https://goldendragon.com,Chinese Restaurant,4.3,307,$$,Midtown,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional chinese restaurant serving New York and surrounding areas,2025-09-13 23:30:42,Yelp,False,unknown,n/a
The Local Burger New York,(571) 418-3111,contact@localburger.com,"6796 Madison Street, New York, NY",https://localburger.com,American Restaurant,3.7,791,$$$,Downtown,Mon-Sun: 24/7,Professional american restaurant serving New York and surrounding areas,2025-09-13 23:30:42,Yelp,False,unknown,n/a
Sakura Sushi New York,(699) 713-4056,team@sakurasushi.com,"3225 Broadway, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.7,120,$,Central District,Mon-Sat: 8AM-8PM,Professional japanese restaurant serving New York and surrounding areas,2025-09-13 23:30:42,Yelp,False,unknown,n/a
Mediterranean Grill New York,(642) 752-5154,connect@mediterraneangrill.com,"5752 Center Street, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.1,328,$,Central District,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional mediterranean restaurant serving New York and surrounding areas,2025-09-13 23:30:42,Yelp,False,unknown,n/a
Taco Fiesta New York,(585) 279-4144,service@tacofiesta.com,"5559 Business Boulevard, New York, NY",https://tacofiesta.com,Mexican Restaurant,4.8,532,$$$$,Uptown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional mexican restaurant serving New York and surrounding areas,2025-09-13 23:30:42,Yelp,False,unknown,n/a
Blue Moon Bistro New York,(479) 588-2077,hello@bluemoonbistro.com,"6890 Madison Street, New York, NY",https://bluemoonbistro.com,French Restaurant,4.9,317,$$$$,South District,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional french restaurant serving New York and surrounding areas,2025-09-13 23:30:42,Yelp,False,unknown,n/a
Spice Garden New York,(882) 291-6563,office@spicegarden.com,"8404 Business Boulevard, New York, NY",https://spicegarden.com,Indian Restaurant,4.2,455,$$,South District,Mon-Sat: 8AM-8PM,Professional indian restaurant serving New York and surrounding areas,2025-09-13 23:30:42,Yelp,False,unknown,n/a
Corner Deli New York,(261) 770-5768,hello@cornerdeli.com,"8374 Jefferson Drive, New York, NY",https://cornerdeli.com,Deli,3.9,638,$$,Central District,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional deli serving New York and surrounding areas,2025-09-13 23:30:42,Yelp,False,unknown,n/a
Pizza Corner New York,(960) 616-4052,info@pizzacorner.com,"9086 Pine Street, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.7,792,$,West Side,Mon-Sat: 8AM-8PM,Professional pizza restaurant serving New York and surrounding areas,2025-09-13 23:30:42,Yelp,False,unknown,n/a
