Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Custom Design Specialists,(650) 263-1074,info@customdesignspecialists.com ⚠️,"2353 Park Blvd, New York, NY",https://customdesignspecialists.com,Remodeling,4.6,182,$$,Houzz Listed,,Professional remodeling services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-15 01:33:34
Elegant Interior Solutions,(510) 646-2156,info@elegantinteriorsolutions.com ⚠️,"4499 Design Way, New York, NY",https://elegantinteriorsolutions.com,Remodeling,4.2,195,$$$$,Houzz Listed,,Professional remodeling services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-15 01:33:34
Innovative Home Concepts,(925) 381-6623,info@innovativehomeconcepts.com ✅,"6808 Design Way, New York, NY",https://innovativehomeconcepts.com,Remodeling,4.9,29,$$,Houzz Listed,,Professional remodeling services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-15 01:33:34
Signature Interior Design,(209) 396-6886,info@signatureinteriordesign.com ⚠️,"8937 Design Way, New York, NY",https://signatureinteriordesign.com,Remodeling,4.6,161,$$$,Houzz Listed,,Professional remodeling services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-15 01:33:34
Premier Design Services,(209) 851-7135,info@premierdesignservices.com ⚠️,"2009 Creative Dr, New York, NY",https://premierdesignservices.com,Remodeling,4.4,48,$$$$,Houzz Listed,,Professional remodeling services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-15 01:33:34
Premier Design Services,(707) 596-9382,info@premierdesignservices.com ⚠️,"8132 Park Blvd, New York, NY",https://premierdesignservices.com,Remodeling,4.6,96,$$$,Houzz Listed,,Professional remodeling services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-15 01:33:34
Outstanding Home Solutions,(415) 357-3831,info@outstandinghomesolutions.com ⚠️,"8150 Creative Dr, New York, NY",https://outstandinghomesolutions.com,Remodeling,4.6,188,$$,Houzz Listed,,Professional remodeling services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-15 01:33:34
Premium Home Interiors,(415) 914-7612,info@premiumhomeinteriors.com ⚠️,"522 Design Way, New York, NY",https://premiumhomeinteriors.com,Remodeling,4.9,148,$$,Houzz Listed,,Professional remodeling services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-15 01:33:34
Exclusive Home Solutions,(209) 442-7010,info@exclusivehomesolutions.com ✅,"9486 Oak Ave, New York, NY",https://exclusivehomesolutions.com,Remodeling,4.6,168,$$$$,Houzz Listed,,Professional remodeling services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-15 01:33:34
Premier Design Services,(831) 431-1483,info@premierdesignservices.com ⚠️,"5380 Park Blvd, New York, NY",https://premierdesignservices.com,Remodeling,4.8,79,$$$,Houzz Listed,,Professional remodeling services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-15 01:33:34
