business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Custom Design Specialists,(510) 387-5360,info@customdesignspecialists.com ⚠️,"964 Main St, San Francisco, CA",https://customdesignspecialists.com,Interior Designers,4.9,195,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 13:57:14,Houzz,False,unknown,n/a
Professional Design Group,(707) 807-1567,info@professionaldesigngroup.com ⚠️,"972 Park Blvd, San Francisco, CA",https://professionaldesigngroup.com,Interior Designers,4.4,130,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 13:57:14,Houzz,False,unknown,n/a
Stylish Home Concepts,(925) 694-2876,info@stylishhomeconcepts.com ⚠️,"4604 Creative Dr, San Francisco, CA",https://stylishhomeconcepts.com,Interior Designers,4.8,172,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 13:57:14,Houzz,False,unknown,n/a
Elegant Interior Solutions,(650) 728-4225,info@elegantinteriorsolutions.com ⚠️,"1827 Main St, San Francisco, CA",https://elegantinteriorsolutions.com,Interior Designers,4.6,53,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 13:57:14,Houzz,False,unknown,n/a
Innovative Home Concepts,(408) 906-2417,info@innovativehomeconcepts.com ✅,"5364 Creative Dr, San Francisco, CA",https://innovativehomeconcepts.com,Interior Designers,4.3,146,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 13:57:14,Houzz,True,unknown,n/a
Classic Home Renovations,(707) 289-4880,office@classichomerenovations.com ✅,"5159 Main St, San Francisco, CA",https://classichomerenovations.com,Interior Designers,4.8,104,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 13:57:14,Houzz,True,unknown,n/a
Outstanding Home Solutions,(209) 729-2039,info@outstandinghomesolutions.com ⚠️,"1521 Park Blvd, San Francisco, CA",https://outstandinghomesolutions.com,Interior Designers,4.7,195,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 13:57:14,Houzz,False,unknown,n/a
Luxury Living Designs,(925) 989-8850,info@luxurylivingdesigns.com ✅,"123 Main St, San Francisco, CA",https://luxurylivingdesigns.com,Interior Designers,4.9,59,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 13:57:14,Houzz,True,unknown,n/a
Elegant Interior Solutions,(510) 385-9974,info@elegantinteriorsolutions.com ⚠️,"5164 Oak Ave, San Francisco, CA",https://elegantinteriorsolutions.com,Interior Designers,4.6,105,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 13:57:14,Houzz,False,unknown,n/a
Remarkable Interior Design,(415) 441-8949,info@remarkableinteriordesign.com ⚠️,"3171 Design Way, San Francisco, CA",https://remarkableinteriordesign.com,Interior Designers,4.5,65,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 13:57:14,Houzz,False,unknown,n/a
