business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Signature Interior Design,(510) 911-2399,info@signatureinteriordesign.com ⚠️,"1480 Creative Dr, New York, NY",https://signatureinteriordesign.com,Interior Designers,4.7,120,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,False,unknown,n/a
Remarkable Interior Design,(925) 919-7773,info@remarkableinteriordesign.com ⚠️,"2552 Creative Dr, New York, NY",https://remarkableinteriordesign.com,Interior Designers,5.0,103,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,False,unknown,n/a
Elite Design Studio,(650) 261-5393,info@elitedesignstudio.com ⚠️,"7023 Oak Ave, New York, NY",https://elitedesignstudio.com,Interior Designers,4.7,79,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,False,unknown,n/a
Modern Space Solutions,(925) 434-1902,info@modernspacesolutions.com ✅,"2388 Main St, New York, NY",https://modernspacesolutions.com,Interior Designers,4.3,180,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,True,unknown,n/a
Contemporary Living Spaces,(925) 501-5408,info@contemporarylivingspaces.com ⚠️,"2766 Park Blvd, New York, NY",https://contemporarylivingspaces.com,Interior Designers,4.7,143,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,False,unknown,n/a
Stylish Home Concepts,(209) 271-2595,info@stylishhomeconcepts.com ⚠️,"8168 Design Way, New York, NY",https://stylishhomeconcepts.com,Interior Designers,4.6,94,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,False,unknown,n/a
Modern Space Solutions,(707) 903-5091,info@modernspacesolutions.com ✅,"7321 Park Blvd, New York, NY",https://modernspacesolutions.com,Interior Designers,4.3,112,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,True,unknown,n/a
Classic Home Renovations,(650) 393-9766,info@classichomerenovations.com ⚠️,"9225 Oak Ave, New York, NY",https://classichomerenovations.com,Interior Designers,4.9,83,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,False,unknown,n/a
Elite Design Studio,(650) 586-7377,info@elitedesignstudio.com ⚠️,"3808 Design Way, New York, NY",https://elitedesignstudio.com,Interior Designers,4.8,48,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,False,unknown,n/a
Sophisticated Design Studio,(408) 652-5469,info@sophisticateddesignstudio.com ⚠️,"4402 Main St, New York, NY",https://sophisticateddesignstudio.com,Interior Designers,4.2,187,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,False,unknown,n/a
Premier Design Services,(415) 349-4770,info@premierdesignservices.com ⚠️,"321 Creative Dr, New York, NY",https://premierdesignservices.com,Interior Designers,4.6,102,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,False,unknown,n/a
Innovative Home Concepts,(707) 581-8390,info@innovativehomeconcepts.com ✅,"2244 Design Way, New York, NY",https://innovativehomeconcepts.com,Interior Designers,4.6,32,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 20:43:36,Houzz,True,unknown,n/a
