Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
D'Agostino & Associates,(347) 706-4561,jdagostino@daglawteam.com,3309 Richmond Ave,http://www.daglawteam.com,AttorneysTransportation Law AttorneysMedical Law Attorneys,3.7,106,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Legal Aid Legal Services Corp,(844) 330-7981,info@legalaiddocumentservicesinc.com,,http://legalaiddocumentservicesinc.com,AttorneysLegal Document AssistanceParalegals,4.6,32,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Social Security Disability Advisors,(844) 353-2605,user@domain.com,,http://www.disabilityadvisors.com,AttorneysSocial Security & Disability Law Attorneys,3.8,147,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
"Weingrad & Weingrad, PC",(212) 244-4187,contact@weingradweingrad.com,233 E 35th St # 1,/listings/1001161972631/directions,AttorneysReal Estate AttorneysBusiness Law Attorneys,4.2,81,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
"Calle & Associates, Law Offices",(212) 480-1600,vc@vcalle.com,11 E Broadway,http://www.vcalle.com,AttorneysImmigration Law AttorneysFamily Law Attorneys,4.6,27,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
The Law Office of Lance Fletcher,(212) 619-3900,info@lawfletcher.com,225 Broadway Ste 2700,http://www.lawfletcher.com,AttorneysCriminal Law AttorneysDUI & DWI Attorneys,3.9,65,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Moncrief John L,(212) 406-5551,,70 Lafayette St Fl 7,,Attorneys,4.0,105,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Manchanda Law Office PLLC,(212) 968-8600,info@manchanda-realestate.com,17 State St Ste 4000,http://www.manchanda-law.com,AttorneysGeneral Practice Attorneys,4.3,170,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
"Gannes & Musico, LLP",(212) 779-1980,info@trafficlaw411.com,325 Broadway Ste 406,http://www.trafficlaw411.com,AttorneysDUI & DWI AttorneysTraffic Law Attorneys,3.7,131,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
"Law Offices of Jason A. Steinberger, LLC",(646) 256-1007,info@arrestedinny.com,505 8th Ave #701,http://arrestedinny.com,AttorneysCriminal Law AttorneysDUI & DWI Attorneys,4.9,164,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Katz Leidman Grossman Wolfe & Freund,(212) 233-6528,info@nyworkerscompensation.net,277 Broadway Ste 308,http://www.nyworkerscompensation.net,AttorneysEmployee Benefits & Worker Compensation Attorneys,4.9,34,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
"Salles, Jessica",(917) 336-6362,,61 Broadway,,Attorneys,4.9,166,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
French & Casey LLP,(212) 797-3544,contact@rbnylaw.com,29 Broadway Fl 27,http://frenchcasey.com,Attorneys,4.3,152,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
The Winfield Firm,(646) 784-0251,,1178 Broadway,,AttorneysLegal ClinicsLegal Service Plans,4.9,65,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
"Shulga Law Firm, P.C.",(646) 481-8001,info@businesslawpost.com,99 Madison Ave,http://www.businesslawpost.com,AttorneysCorporation & Partnership Law AttorneysContract Law Attorneys,4.2,146,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Law Office of Michael Marley,(917) 853-4484,,250 W 100th St,,AttorneysCriminal Law AttorneysDUI & DWI Attorneys,4.8,140,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Boris Kogan & Associates,(212) 625-8910,info@boriskogan.com,277 Broadway,http://www.boriskogan.com,AttorneysLegal Service Plans,4.3,21,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Lawrence H. Bloom,(212) 256-9838,,277 Broadway Ste 708,,Attorneys,4.9,144,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Iannuzzi and Iannuzzi,(212) 227-2099,,74 Trinity Pl Rm 1800,,Attorneys,3.6,152,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Gangemi Law Firm PC,(646) 741-2626,info@gangemilaw.com,82 Wall St Ste 300,http://www.gangemilaw.com,AttorneysGeneral Practice Attorneys,3.6,149,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Fitapelli and Schaffer LLP,(212) 481-1331,info@fslawfirm.com,475 Park Ave S Rm 1202,http://www.fslawfirm.com,Attorneys,4.5,87,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Judges & Lawyers,(212) 289-9720,,1361 Madison Ave Apt 6A,,AttorneysGeneral Practice Attorneys,4.8,111,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
Yoram Nachimovsky Law Office,(212) 267-1157,,225 Broadway,,"AttorneysLegal Service PlansEstate Planning, Probate, & Living Trusts",3.8,21,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
George Vomvolakis Law Offices,(212) 682-0700,,275 Madison Ave Ste 1000,,AttorneysCriminal Law AttorneysCivil Litigation & Trial Law Attorneys,3.7,78,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:36:02
