business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Refined Home Interiors,(510) 402-1003,info@refinedhomeinteriors.com ⚠️,"5122 Oak Ave, San Francisco, CA",https://refinedhomeinteriors.com,Interior Designers,4.8,29,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Signature Interior Design,(831) 253-9933,info@signatureinteriordesign.com ⚠️,"6045 Creative Dr, San Francisco, CA",https://signatureinteriordesign.com,Interior Designers,5.0,60,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Elite Design Studio,(415) 472-6187,info@elitedesignstudio.com ⚠️,"5943 Main St, San Francisco, CA",https://elitedesignstudio.com,Interior Designers,4.8,44,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Elite Design Studio,(650) 851-6130,info@elitedesignstudio.com ⚠️,"1942 Main St, San Francisco, CA",https://elitedesignstudio.com,Interior Designers,4.6,62,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Contemporary Living Spaces,(415) 450-5022,info@contemporarylivingspaces.com ⚠️,"6010 Creative Dr, San Francisco, CA",https://contemporarylivingspaces.com,Interior Designers,4.3,131,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Creative Interior Concepts,(925) 840-4863,info@creativeinteriorconcepts.com ⚠️,"5656 Main St, San Francisco, CA",https://creativeinteriorconcepts.com,Interior Designers,4.3,156,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Luxury Living Designs,(925) 228-5846,info@luxurylivingdesigns.com ⚠️,"9920 Design Way, San Francisco, CA",https://luxurylivingdesigns.com,Interior Designers,4.8,62,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Signature Interior Design,(415) 845-2928,info@signatureinteriordesign.com ⚠️,"4477 Creative Dr, San Francisco, CA",https://signatureinteriordesign.com,Interior Designers,4.2,192,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Stylish Home Concepts,(510) 378-2730,info@stylishhomeconcepts.com ⚠️,"1447 Creative Dr, San Francisco, CA",https://stylishhomeconcepts.com,Interior Designers,5.0,82,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Signature Interior Design,(209) 635-6480,info@signatureinteriordesign.com ⚠️,"9956 Oak Ave, San Francisco, CA",https://signatureinteriordesign.com,Interior Designers,4.9,198,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Beautiful Spaces Design,(408) 709-8501,info@beautifulspacesdesign.com ⚠️,"3496 Creative Dr, San Francisco, CA",https://beautifulspacesdesign.com,Interior Designers,4.3,159,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Premier Design Services,(209) 572-1689,info@premierdesignservices.com ⚠️,"8203 Design Way, San Francisco, CA",https://premierdesignservices.com,Interior Designers,4.5,169,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Elite Design Studio,(415) 592-3952,info@elitedesignstudio.com ⚠️,"6469 Park Blvd, San Francisco, CA",https://elitedesignstudio.com,Interior Designers,4.4,131,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Elegant Interior Solutions,(831) 437-1234,info@elegantinteriorsolutions.com ⚠️,"2516 Oak Ave, San Francisco, CA",https://elegantinteriorsolutions.com,Interior Designers,4.5,103,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Outstanding Home Solutions,(650) 795-4309,info@outstandinghomesolutions.com ⚠️,"9970 Main St, San Francisco, CA",https://outstandinghomesolutions.com,Interior Designers,4.3,155,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Contemporary Living Spaces,(925) 296-3833,info@contemporarylivingspaces.com ⚠️,"2034 Creative Dr, San Francisco, CA",https://contemporarylivingspaces.com,Interior Designers,4.3,191,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Stylish Home Concepts,(510) 442-6489,info@stylishhomeconcepts.com ⚠️,"1800 Park Blvd, San Francisco, CA",https://stylishhomeconcepts.com,Interior Designers,4.6,124,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Sophisticated Design Studio,(707) 439-7011,info@sophisticateddesignstudio.com ⚠️,"9268 Design Way, San Francisco, CA",https://sophisticateddesignstudio.com,Interior Designers,5.0,81,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Premium Home Interiors,(209) 875-6835,info@premiumhomeinteriors.com ⚠️,"5032 Oak Ave, San Francisco, CA",https://premiumhomeinteriors.com,Interior Designers,4.6,147,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Outstanding Home Solutions,(408) 408-1874,info@outstandinghomesolutions.com ⚠️,"8959 Creative Dr, San Francisco, CA",https://outstandinghomesolutions.com,Interior Designers,4.7,25,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Classic Home Renovations,(831) 650-6962,office@classichomerenovations.com ✅,"3234 Main St, San Francisco, CA",https://classichomerenovations.com,Interior Designers,4.4,196,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,True,unknown,n/a
Professional Design Group,(510) 709-6069,info@professionaldesigngroup.com ⚠️,"4284 Oak Ave, San Francisco, CA",https://professionaldesigngroup.com,Interior Designers,4.2,96,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Outstanding Home Solutions,(707) 334-8381,info@outstandinghomesolutions.com ⚠️,"3033 Design Way, San Francisco, CA",https://outstandinghomesolutions.com,Interior Designers,4.3,171,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Exceptional Interior Design,(831) 411-6047,info@exceptionalinteriordesign.com ⚠️,"3533 Park Blvd, San Francisco, CA",https://exceptionalinteriordesign.com,Interior Designers,4.6,135,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Artistic Home Solutions,(408) 424-9671,info@artistichomesolutions.com ⚠️,"7060 Oak Ave, San Francisco, CA",https://artistichomesolutions.com,Interior Designers,4.6,38,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Custom Design Specialists,(707) 831-3821,info@customdesignspecialists.com ⚠️,"6751 Park Blvd, San Francisco, CA",https://customdesignspecialists.com,Interior Designers,4.5,56,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Luxury Living Designs,(415) 290-5822,info@luxurylivingdesigns.com ⚠️,"3320 Design Way, San Francisco, CA",https://luxurylivingdesigns.com,Interior Designers,4.4,34,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Outstanding Home Solutions,(415) 918-6869,info@outstandinghomesolutions.com ⚠️,"7802 Design Way, San Francisco, CA",https://outstandinghomesolutions.com,Interior Designers,4.8,65,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Contemporary Living Spaces,(209) 222-9705,info@contemporarylivingspaces.com ⚠️,"3316 Design Way, San Francisco, CA",https://contemporarylivingspaces.com,Interior Designers,4.2,66,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Luxury Living Designs,(209) 481-5722,info@luxurylivingdesigns.com ✅,"8669 Oak Ave, San Francisco, CA",https://luxurylivingdesigns.com,Interior Designers,4.4,164,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,True,unknown,n/a
Elite Design Studio,(925) 229-4328,info@elitedesignstudio.com ⚠️,"7156 Park Blvd, San Francisco, CA",https://elitedesignstudio.com,Interior Designers,4.2,134,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Modern Space Solutions,(408) 614-7203,info@modernspacesolutions.com ✅,"8464 Oak Ave, San Francisco, CA",https://modernspacesolutions.com,Interior Designers,4.5,182,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,True,unknown,n/a
Luxury Living Designs,(650) 665-9043,info@luxurylivingdesigns.com ✅,"5566 Oak Ave, San Francisco, CA",https://luxurylivingdesigns.com,Interior Designers,4.6,162,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,True,unknown,n/a
Classic Home Renovations,(209) 848-9787,info@classichomerenovations.com ✅,"494 Creative Dr, San Francisco, CA",https://classichomerenovations.com,Interior Designers,4.6,160,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,True,unknown,n/a
Timeless Design Company,(408) 956-8600,info@timelessdesigncompany.com ⚠️,"2827 Main St, San Francisco, CA",https://timelessdesigncompany.com,Interior Designers,4.3,47,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
Beautiful Spaces Design,(650) 236-3000,info@beautifulspacesdesign.com ⚠️,"9292 Design Way, San Francisco, CA",https://beautifulspacesdesign.com,Interior Designers,4.7,168,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:55:22,Houzz,False,unknown,n/a
