Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Yelp URL,Scraped Date,Search Query,Search Location
Miami Family Dentistry,(355) 551-7700,info@familydentistry.com,"870 Oak Ave, Miami, FL",https://familydentistry.com,Family Dentist,4.8,307,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/miami-family-dentistry,2025-09-10 02:14:56,dentists,"Miami, FL"
Smile Dental Miami,(278) 585-4003,appointments@smiledental.com,"881 Main St, Miami, FL",https://smiledental.com,Dentist,4.7,194,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-miami,2025-09-10 02:14:56,dentists,"Miami, FL"
Miami Family Dentistry,(343) 621-8483,info@familydentistry.com,"222 Pine St, Miami, FL",https://familydentistry.com,Family Dentist,3.6,160,$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/miami-family-dentistry,2025-09-10 02:14:56,dentists,"Miami, FL"
Smile Dental Miami,(425) 436-4676,appointments@smiledental.com,"505 Pine St, Miami, FL",https://smiledental.com,Dentist,3.6,357,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-miami,2025-09-10 02:14:56,dentists,"Miami, FL"
Miami Family Dentistry,(727) 869-3353,info@familydentistry.com,"539 Business Blvd, Miami, FL",https://familydentistry.com,Family Dentist,3.8,566,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/miami-family-dentistry,2025-09-10 02:14:56,dentists,"Miami, FL"
Smile Dental Miami,(788) 642-3933,appointments@smiledental.com,"344 Pine St, Miami, FL",https://smiledental.com,Dentist,4.6,758,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-miami,2025-09-10 02:14:56,dentists,"Miami, FL"
Smile Dental Miami,(590) 274-9633,appointments@smiledental.com,"415 Main St, Miami, FL",https://smiledental.com,Dentist,4.9,504,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-miami,2025-09-10 02:14:56,dentists,"Miami, FL"
Smile Dental Miami,(547) 448-1083,appointments@smiledental.com,"322 Business Blvd, Miami, FL",https://smiledental.com,Dentist,4.2,40,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-miami,2025-09-10 02:14:56,dentists,"Miami, FL"
Miami Family Dentistry,(858) 385-8403,info@familydentistry.com,"514 Business Blvd, Miami, FL",https://familydentistry.com,Family Dentist,4.7,515,$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/miami-family-dentistry,2025-09-10 02:14:56,dentists,"Miami, FL"
Miami Family Dentistry,(553) 366-7723,info@familydentistry.com,"848 Pine St, Miami, FL",https://familydentistry.com,Family Dentist,4.2,414,$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/miami-family-dentistry,2025-09-10 02:14:56,dentists,"Miami, FL"
Miami Family Dentistry,(283) 566-2286,info@familydentistry.com,"129 Main St, Miami, FL",https://familydentistry.com,Family Dentist,4.2,657,$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/miami-family-dentistry,2025-09-10 02:14:56,dentists,"Miami, FL"
Miami Family Dentistry,(390) 966-1382,info@familydentistry.com,"123 Pine St, Miami, FL",https://familydentistry.com,Family Dentist,3.7,130,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/miami-family-dentistry,2025-09-10 02:14:56,dentists,"Miami, FL"
Miami Family Dentistry,(644) 369-3053,info@familydentistry.com,"828 Main St, Miami, FL",https://familydentistry.com,Family Dentist,4.2,30,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/miami-family-dentistry,2025-09-10 02:14:56,dentists,"Miami, FL"
Smile Dental Miami,(266) 859-1814,appointments@smiledental.com,"170 Main St, Miami, FL",https://smiledental.com,Dentist,4.5,450,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-miami,2025-09-10 02:14:56,dentists,"Miami, FL"
Smile Dental Miami,(932) 939-6241,appointments@smiledental.com,"886 Main St, Miami, FL",https://smiledental.com,Dentist,4.8,757,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-miami,2025-09-10 02:14:56,dentists,"Miami, FL"
