Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Yelp URL,Scraped Date,Search Query,Search Location
Chicago Legal Group,(784) 601-2538,info@legalgroup.com,"574 Business Blvd, Chicago, IL",https://legalgroup.com,Attorney,4.0,105,$$$,Downtown,Mon-Fri: 9AM-6PM,Full-service law firm,https://yelp.com/biz/chicago-legal-group,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(959) 383-2774,contact@johnsonlaw.com,"208 Main St, Chicago, IL",https://johnsonlaw.com,Law Firm,3.8,482,$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(943) 927-8773,contact@johnsonlaw.com,"899 Main St, Chicago, IL",https://johnsonlaw.com,Law Firm,4.8,228,$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Chicago Legal Group,(449) 354-4255,info@legalgroup.com,"934 Main St, Chicago, IL",https://legalgroup.com,Attorney,4.4,517,$$,Downtown,Mon-Fri: 9AM-6PM,Full-service law firm,https://yelp.com/biz/chicago-legal-group,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Chicago Legal Group,(595) 789-3165,info@legalgroup.com,"796 Business Blvd, Chicago, IL",https://legalgroup.com,Attorney,4.7,689,$$$,Downtown,Mon-Fri: 9AM-6PM,Full-service law firm,https://yelp.com/biz/chicago-legal-group,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(897) 706-3719,contact@johnsonlaw.com,"819 Business Blvd, Chicago, IL",https://johnsonlaw.com,Law Firm,4.4,219,$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Chicago Legal Group,(929) 654-5908,info@legalgroup.com,"419 Oak Ave, Chicago, IL",https://legalgroup.com,Attorney,4.2,330,$,Downtown,Mon-Fri: 9AM-6PM,Full-service law firm,https://yelp.com/biz/chicago-legal-group,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(560) 737-5296,contact@johnsonlaw.com,"842 Oak Ave, Chicago, IL",https://johnsonlaw.com,Law Firm,4.5,771,$$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(566) 894-9687,contact@johnsonlaw.com,"385 Oak Ave, Chicago, IL",https://johnsonlaw.com,Law Firm,4.1,93,$$$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(337) 542-3961,contact@johnsonlaw.com,"712 Pine St, Chicago, IL",https://johnsonlaw.com,Law Firm,4.4,79,$$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(857) 788-3815,contact@johnsonlaw.com,"964 Pine St, Chicago, IL",https://johnsonlaw.com,Law Firm,4.9,354,$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Chicago Legal Group,(671) 993-2161,info@legalgroup.com,"384 Oak Ave, Chicago, IL",https://legalgroup.com,Attorney,4.8,628,$,Downtown,Mon-Fri: 9AM-6PM,Full-service law firm,https://yelp.com/biz/chicago-legal-group,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Chicago Legal Group,(779) 909-8916,info@legalgroup.com,"732 Oak Ave, Chicago, IL",https://legalgroup.com,Attorney,3.8,650,$$,Downtown,Mon-Fri: 9AM-6PM,Full-service law firm,https://yelp.com/biz/chicago-legal-group,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(634) 977-9874,contact@johnsonlaw.com,"511 Business Blvd, Chicago, IL",https://johnsonlaw.com,Law Firm,3.7,454,$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(750) 801-1997,contact@johnsonlaw.com,"120 Oak Ave, Chicago, IL",https://johnsonlaw.com,Law Firm,3.6,570,$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(214) 771-2806,contact@johnsonlaw.com,"655 Business Blvd, Chicago, IL",https://johnsonlaw.com,Law Firm,4.6,652,$$$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Chicago Legal Group,(857) 329-8600,info@legalgroup.com,"301 Main St, Chicago, IL",https://legalgroup.com,Attorney,3.7,237,$,Downtown,Mon-Fri: 9AM-6PM,Full-service law firm,https://yelp.com/biz/chicago-legal-group,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(936) 505-1424,contact@johnsonlaw.com,"254 Oak Ave, Chicago, IL",https://johnsonlaw.com,Law Firm,4.0,637,$$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Johnson & Associates Law,(215) 651-2510,contact@johnsonlaw.com,"577 Main St, Chicago, IL",https://johnsonlaw.com,Law Firm,4.6,434,$$,Downtown,Mon-Fri: 9AM-6PM,Experienced legal representation,https://yelp.com/biz/johnson-&-associates-law,2025-09-09 17:14:17,lawyers,"Chicago, IL"
Chicago Legal Group,(874) 819-3150,info@legalgroup.com,"372 Oak Ave, Chicago, IL",https://legalgroup.com,Attorney,3.6,524,$$$,Downtown,Mon-Fri: 9AM-6PM,Full-service law firm,https://yelp.com/biz/chicago-legal-group,2025-09-09 17:14:17,lawyers,"Chicago, IL"
