Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Premier Design Services,(707) 441-5092,info@premierdesignservices.com ⚠️,"3975 Main St, San Francisco, CA",https://premierdesignservices.com,Interior Designers,4.2,134,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Remarkable Interior Design,(510) 911-8360,info@remarkableinteriordesign.com ⚠️,"7697 Park Blvd, San Francisco, CA",https://remarkableinteriordesign.com,Interior Designers,4.4,142,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Refined Home Interiors,(707) 969-6405,info@refinedhomeinteriors.com ⚠️,"8287 Main St, San Francisco, CA",https://refinedhomeinteriors.com,Interior Designers,4.8,75,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Elegant Interior Solutions,(408) 325-1221,info@elegantinteriorsolutions.com ⚠️,"4899 Creative Dr, San Francisco, CA",https://elegantinteriorsolutions.com,Interior Designers,4.9,163,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Stylish Home Concepts,(650) 507-7353,info@stylishhomeconcepts.com ⚠️,"9786 Park Blvd, San Francisco, CA",https://stylishhomeconcepts.com,Interior Designers,4.8,173,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Classic Home Renovations,(650) 711-4477,info@classichomerenovations.com ✅,"2294 Oak Ave, San Francisco, CA",https://classichomerenovations.com,Interior Designers,5.0,47,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Timeless Design Company,(925) 381-3201,info@timelessdesigncompany.com ⚠️,"5046 Oak Ave, San Francisco, CA",https://timelessdesigncompany.com,Interior Designers,4.7,164,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Elegant Interior Solutions,(209) 981-2517,info@elegantinteriorsolutions.com ⚠️,"137 Creative Dr, San Francisco, CA",https://elegantinteriorsolutions.com,Interior Designers,4.2,142,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Modern Space Solutions,(707) 390-3437,info@modernspacesolutions.com ✅,"9784 Park Blvd, San Francisco, CA",https://modernspacesolutions.com,Interior Designers,4.4,31,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Timeless Design Company,(415) 916-3909,info@timelessdesigncompany.com ⚠️,"544 Oak Ave, San Francisco, CA",https://timelessdesigncompany.com,Interior Designers,4.9,78,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Modern Space Solutions,(650) 992-4384,info@modernspacesolutions.com ✅,"4562 Oak Ave, San Francisco, CA",https://modernspacesolutions.com,Interior Designers,4.3,151,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Modern Space Solutions,(707) 594-2676,info@modernspacesolutions.com ✅,"6260 Oak Ave, San Francisco, CA",https://modernspacesolutions.com,Interior Designers,4.3,51,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
Elegant Interior Solutions,(707) 482-8961,info@elegantinteriorsolutions.com ⚠️,"5793 Main St, San Francisco, CA",https://elegantinteriorsolutions.com,Interior Designers,4.9,173,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 18:12:38
