business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,yelp_url,scraped_date,search_query,search_location
Dave & Buster's New York City - Times Square,(646) 495-2015,info@daveandbusters.com,234 W 42nd St 3rd Fl,http://www.daveandbusters.com,RestaurantsAmerican RestaurantsSports Bars,4.0,72,$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Paul & Jimmy's Restaurant,(212) 475-9540,info@paulandjimmys.com,123 E 18th St,https://www.paulandjimmys.com,RestaurantsItalian RestaurantsFamily Style Restaurants,3.8,66,$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Restaurant,(917) 388-3920,,9 Spring St,,RestaurantsFamily Style Restaurants,3.5,24,$$$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Da Marino Restaurant,(212) 541-6601,info@damarino.com,220 W 49th St,http://www.damarino.com,RestaurantsItalian RestaurantsFamily Style Restaurants,4.8,40,$$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Bobby Van's Steakhouse - 54th Street,(212) 207-8050,info46@bobbyvans.com,131 E 54th St,http://www.bobbyvans.com/54th-street.html,RestaurantsSteak HousesAmerican Restaurants,3.8,48,$$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Johnny Rock,(212) 813-0003,contact@johnnyrock.com,930 3rd Ave,/new-york-ny/mip/johnny-rock-10705734#open-menu,RestaurantsAmerican RestaurantsHamburgers & Hot Dogs,4.7,192,$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
S'mac,(212) 358-7912,eastvillage@eatsmac.com,197 1st Ave,http://www.eatsmac.com,RestaurantsAmerican RestaurantsVegetarian Restaurants,3.9,41,$$$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Pita Grill Restaurant,(212) 363-2333,,69 New St,,RestaurantsFamily Style Restaurants,4.9,167,$$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Sparks Steak House,(212) 687-4855,info@sparkssteakhouse.com,210 E 46th St,http://www.sparkssteakhouse.com,RestaurantsSteak HousesAmerican Restaurants,4.8,131,$$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Babbo,(212) 777-0303,info@babbonyc.com,110 Waverly Pl,http://www.babbonyc.com,RestaurantsItalian RestaurantsFamily Style Restaurants,4.5,105,$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Red House Restaurant,(212) 228-8288,info@redhousenyc.com,203 E 14th St Frnt A,http://redhousenyc.com,RestaurantsChinese RestaurantsFamily Style Restaurants,4.5,46,$$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
El Presidente Restaurant,(212) 927-7011,info@elpresidenterest.com,3938 Broadway,http://elpresidenterest.com/index1.html,RestaurantsLatin American RestaurantsFamily Style Restaurants,4.5,18,$$$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Firefly,(212) 966-8716,info@fireflynyc.com,54 Spring St,http://www.fireflynyc.com,RestaurantsFamily Style Restaurants,3.9,190,$$$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
Hudson Falafel Restaurant,(212) 242-3939,contact@hudsonfalafel.com,516 Hudson St,/new-york-ny/mip/hudson-falafel-restaurant-15936501#open-menu,RestaurantsAfrican RestaurantsFamily Style Restaurants,3.6,23,$$,Yellow Pages Listed,,,,2025-09-10 17:25:44,restaurants,"New York, NY"
