business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Exclusive Home Solutions,(650) 704-5421,info@exclusivehomesolutions.com ✅,"8852 Main St, San Francisco, CA",https://exclusivehomesolutions.com,Interior Designers,4.6,153,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,True,unknown,n/a
Artistic Home Solutions,(707) 710-8174,info@artistichomesolutions.com ⚠️,"6988 Oak Ave, San Francisco, CA",https://artistichomesolutions.com,Interior Designers,4.6,25,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Remarkable Interior Design,(408) 713-4955,info@remarkableinteriordesign.com ⚠️,"5355 Park Blvd, San Francisco, CA",https://remarkableinteriordesign.com,Interior Designers,4.4,118,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Exclusive Home Solutions,(415) 413-7113,info@exclusivehomesolutions.com ✅,"8750 Creative Dr, San Francisco, CA",https://exclusivehomesolutions.com,Interior Designers,4.8,45,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,True,unknown,n/a
Premium Home Interiors,(650) 219-4219,info@premiumhomeinteriors.com ⚠️,"2859 Oak Ave, San Francisco, CA",https://premiumhomeinteriors.com,Interior Designers,4.5,53,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Sophisticated Design Studio,(408) 343-9511,info@sophisticateddesignstudio.com ⚠️,"8055 Oak Ave, San Francisco, CA",https://sophisticateddesignstudio.com,Interior Designers,4.3,141,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Distinctive Home Designs,(408) 267-5951,info@distinctivehomedesigns.com ⚠️,"8613 Park Blvd, San Francisco, CA",https://distinctivehomedesigns.com,Interior Designers,4.6,41,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Luxury Living Designs,(510) 774-5102,info@luxurylivingdesigns.com ✅,"738 Main St, San Francisco, CA",https://luxurylivingdesigns.com,Interior Designers,4.5,43,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,True,unknown,n/a
Custom Design Specialists,(650) 964-2054,info@customdesignspecialists.com ⚠️,"7547 Design Way, San Francisco, CA",https://customdesignspecialists.com,Interior Designers,5.0,162,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Custom Design Specialists,(209) 331-9605,info@customdesignspecialists.com ⚠️,"5834 Oak Ave, San Francisco, CA",https://customdesignspecialists.com,Interior Designers,4.7,124,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Exceptional Interior Design,(209) 483-1728,info@exceptionalinteriordesign.com ⚠️,"9188 Park Blvd, San Francisco, CA",https://exceptionalinteriordesign.com,Interior Designers,4.4,130,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Professional Design Group,(650) 506-1524,info@professionaldesigngroup.com ⚠️,"8091 Design Way, San Francisco, CA",https://professionaldesigngroup.com,Interior Designers,4.3,197,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Outstanding Home Solutions,(415) 411-7278,info@outstandinghomesolutions.com ⚠️,"8887 Oak Ave, San Francisco, CA",https://outstandinghomesolutions.com,Interior Designers,4.4,43,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Creative Interior Concepts,(415) 324-4092,info@creativeinteriorconcepts.com ⚠️,"2514 Park Blvd, San Francisco, CA",https://creativeinteriorconcepts.com,Interior Designers,4.9,78,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Creative Interior Concepts,(209) 863-3658,info@creativeinteriorconcepts.com ⚠️,"2577 Main St, San Francisco, CA",https://creativeinteriorconcepts.com,Interior Designers,4.5,53,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Exclusive Home Solutions,(650) 340-5691,info@exclusivehomesolutions.com ✅,"302 Design Way, San Francisco, CA",https://exclusivehomesolutions.com,Interior Designers,4.8,180,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,True,unknown,n/a
Premier Design Services,(408) 883-8154,info@premierdesignservices.com ⚠️,"2604 Creative Dr, San Francisco, CA",https://premierdesignservices.com,Interior Designers,4.7,181,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Remarkable Interior Design,(408) 221-7414,info@remarkableinteriordesign.com ⚠️,"4571 Creative Dr, San Francisco, CA",https://remarkableinteriordesign.com,Interior Designers,4.2,141,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Artistic Home Solutions,(510) 511-5215,info@artistichomesolutions.com ⚠️,"2089 Main St, San Francisco, CA",https://artistichomesolutions.com,Interior Designers,4.9,198,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Beautiful Spaces Design,(831) 923-7891,info@beautifulspacesdesign.com ⚠️,"9545 Creative Dr, San Francisco, CA",https://beautifulspacesdesign.com,Interior Designers,5.0,129,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Beautiful Spaces Design,(415) 500-4120,info@beautifulspacesdesign.com ⚠️,"5184 Oak Ave, San Francisco, CA",https://beautifulspacesdesign.com,Interior Designers,4.7,77,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Modern Space Solutions,(209) 419-5099,info@modernspacesolutions.com ⚠️,"4616 Design Way, San Francisco, CA",https://modernspacesolutions.com,Interior Designers,4.6,54,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Impressive Design Studio,(408) 770-8940,info@impressivedesignstudio.com ⚠️,"6202 Oak Ave, San Francisco, CA",https://impressivedesignstudio.com,Interior Designers,4.9,38,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Elegant Interior Solutions,(209) 712-1714,info@elegantinteriorsolutions.com ⚠️,"6448 Main St, San Francisco, CA",https://elegantinteriorsolutions.com,Interior Designers,4.8,141,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
Elegant Interior Solutions,(831) 606-1552,info@elegantinteriorsolutions.com ⚠️,"890 Oak Ave, San Francisco, CA",https://elegantinteriorsolutions.com,Interior Designers,4.9,69,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 18:32:35,Houzz,False,unknown,n/a
