Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Yelp URL,Scraped Date,Search Query,Search Location
Bella Vista New York,(744) 908-8332,connect@bellavista.com,"7447 First Avenue, New York, NY",https://bellavista.com,Italian Restaurant,3.9,410,$$$,East Side,Mon-Sun: 24/7,Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Golden Dragon New York,(858) 258-1585,service@goldendragon.com,"9179 Pine Street, New York, NY",https://goldendragon.com,Chinese Restaurant,4.3,777,$$$,North End,Mon-Fri: 9AM-6PM,Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
The Local Burger New York,(750) 738-4122,info@localburger.com,"4143 Lincoln Avenue, New York, NY",https://localburger.com,American Restaurant,4.0,317,$$$,South District,Tue-Sat: 9AM-7PM,Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Sakura Sushi New York,(485) 826-3532,team@sakurasushi.com,"1697 Lincoln Avenue, New York, NY",https://sakurasushi.com,Japanese Restaurant,3.8,113,$$$$,South District,Mon-Sat: 8AM-8PM,Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Mediterranean Grill New York,(762) 700-1371,connect@mediterraneangrill.com,"2276 Broadway, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.6,491,$$$,West Side,Mon-Fri: 9AM-6PM,Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Taco Fiesta New York,(579) 233-4402,info@tacofiesta.com,"6899 Jefferson Drive, New York, NY",https://tacofiesta.com,Mexican Restaurant,3.7,472,$$$,Downtown,Daily: 10AM-10PM,Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Blue Moon Bistro New York,(226) 389-5765,support@bluemoonbistro.com,"7814 Oak Avenue, New York, NY",https://bluemoonbistro.com,French Restaurant,3.7,659,$,North End,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Spice Garden New York,(575) 442-8329,admin@spicegarden.com,"2147 Washington Street, New York, NY",https://spicegarden.com,Indian Restaurant,3.6,343,$,South District,Mon-Sun: 24/7,Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Corner Deli New York,(205) 761-8169,hello@cornerdeli.com,"7356 Kennedy Street, New York, NY",https://cornerdeli.com,Deli,4.2,415,$$$$,West Side,Tue-Sat: 9AM-7PM,Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Pizza Corner New York,(840) 726-1330,service@pizzacorner.com,"6609 First Avenue, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.1,736,$,Central District,Mon-Sun: 24/7,Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Sunrise Cafe New York,(718) 349-9605,office@sunrisecafe.com,"210 Business Boulevard, New York, NY",https://sunrisecafe.com,Cafe,4.6,22,$,South District,Mon-Sun: 24/7,Professional cafe serving New York and surrounding areas,https://yelp.com/biz/sunrise-cafe-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
Ocean View Seafood New York,(636) 493-3503,connect@oceanviewseafood.com,"8156 Oak Avenue, New York, NY",https://oceanviewseafood.com,Seafood Restaurant,4.2,654,$,Uptown,Mon-Fri: 9AM-6PM,Professional seafood restaurant serving New York and surrounding areas,https://yelp.com/biz/ocean-view-seafood-new-york,2025-09-10 17:14:46,restaurants,"New York, NY"
