business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Professional Interior Designer Darwin,(527) 430-5130,contact@interior designerservices.com,"6332 First Avenue, Darwin, NY",https://interior designerservices.com,Interior Designer Services,4.2,523,$$$,Downtown,Mon-Sun: 24/7,Professional interior designer services serving Darwin and surrounding areas,2025-09-10 17:54:28,Yelp,False,unknown,n/a
Expert Interior Designer Solutions Darwin,(359) 556-8344,service@expertinterior designer.com,"5796 Oak Avenue, Darwin, NY",https://expertinterior designer.com,Interior Designer Expert,4.2,775,$$$$,Downtown,Mon-Sun: 24/7,Professional interior designer expert serving Darwin and surrounding areas,2025-09-10 17:54:28,Yelp,False,unknown,n/a
Premier Interior Designer Group Darwin,(250) 331-5005,connect@premierinterior designer.com,"8025 Elm Street, Darwin, NY",https://premierinterior designer.com,Interior Designer Group,3.7,220,$$$$,East Side,Tue-Sat: 9AM-7PM,Professional interior designer group serving Darwin and surrounding areas,2025-09-10 17:54:28,Yelp,False,unknown,n/a
Metro Interior Designer Center Darwin,(279) 748-3756,office@metrointerior designer.com,"548 Jefferson Drive, Darwin, NY",https://metrointerior designer.com,Interior Designer Center,3.5,417,$$,Downtown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional interior designer center serving Darwin and surrounding areas,2025-09-10 17:54:28,Yelp,False,unknown,n/a
Elite Interior Designer Services Darwin,(254) 443-6424,connect@eliteinterior designer.com,"4930 Center Street, Darwin, NY",https://eliteinterior designer.com,Interior Designer Specialist,4.7,543,$$,Uptown,Mon-Sat: 8AM-8PM,Professional interior designer specialist serving Darwin and surrounding areas,2025-09-10 17:54:28,Yelp,False,unknown,n/a
City Interior Designer Solutions Darwin,(999) 371-2469,welcome@cityinterior designer.com,"748 Second Street, Darwin, NY",https://cityinterior designer.com,Interior Designer Solutions,4.6,301,$$$$,Downtown,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional interior designer solutions serving Darwin and surrounding areas,2025-09-10 17:54:28,Yelp,False,unknown,n/a
Advanced Interior Designer Co Darwin,(464) 974-2702,admin@advancedinterior designer.com,"134 Broadway, Darwin, NY",https://advancedinterior designer.com,Interior Designer Company,4.3,546,$$$$,North End,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional interior designer company serving Darwin and surrounding areas,2025-09-10 17:54:28,Yelp,False,unknown,n/a
Quality Interior Designer Services Darwin,(932) 655-2107,contact@qualityinterior designer.com,"3672 Second Street, Darwin, NY",https://qualityinterior designer.com,Interior Designer Provider,3.6,265,$$$$,East Side,Tue-Sat: 9AM-7PM,Professional interior designer provider serving Darwin and surrounding areas,2025-09-10 17:54:28,Yelp,False,unknown,n/a
Reliable Interior Designer Group Darwin,(378) 534-1481,welcome@reliableinterior designer.com,"2819 Center Street, Darwin, NY",https://reliableinterior designer.com,Interior Designer Group,4.6,715,$$$$,West Side,Tue-Sat: 9AM-7PM,Professional interior designer group serving Darwin and surrounding areas,2025-09-10 17:54:28,Yelp,False,unknown,n/a
Top Interior Designer Professionals Darwin,(280) 937-2635,team@topinterior designer.com,"1129 Maple Avenue, Darwin, NY",https://topinterior designer.com,Interior Designer Professional,4.1,481,$$$,Central District,Daily: 10AM-10PM,Professional interior designer professional serving Darwin and surrounding areas,2025-09-10 17:54:28,Yelp,False,unknown,n/a
