business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Innovative Home Concepts,(707) 322-8983,info@innovativehomeconcepts.com ✅,"8462 Main St, New York, NY",https://innovativehomeconcepts.com,Interior Designers,4.7,194,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,True,unknown,n/a
Innovative Home Concepts,(650) 864-2255,info@innovativehomeconcepts.com ✅,"8453 Oak Ave, New York, NY",https://innovativehomeconcepts.com,Interior Designers,4.6,170,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,True,unknown,n/a
Signature Interior Design,(415) 705-7284,info@signatureinteriordesign.com ⚠️,"9403 Oak Ave, New York, NY",https://signatureinteriordesign.com,Interior Designers,5.0,137,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,False,unknown,n/a
Artistic Home Solutions,(209) 954-6126,info@artistichomesolutions.com ⚠️,"2356 Main St, New York, NY",https://artistichomesolutions.com,Interior Designers,4.5,143,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,False,unknown,n/a
Impressive Design Studio,(415) 816-4700,info@impressivedesignstudio.com ⚠️,"597 Park Blvd, New York, NY",https://impressivedesignstudio.com,Interior Designers,4.6,164,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,False,unknown,n/a
Elegant Interior Solutions,(925) 791-9867,info@elegantinteriorsolutions.com ⚠️,"8236 Park Blvd, New York, NY",https://elegantinteriorsolutions.com,Interior Designers,4.3,91,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,False,unknown,n/a
Impressive Design Studio,(831) 691-1263,info@impressivedesignstudio.com ⚠️,"4292 Oak Ave, New York, NY",https://impressivedesignstudio.com,Interior Designers,4.5,93,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,False,unknown,n/a
Signature Interior Design,(408) 439-7519,info@signatureinteriordesign.com ⚠️,"5988 Creative Dr, New York, NY",https://signatureinteriordesign.com,Interior Designers,4.6,66,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,False,unknown,n/a
Exclusive Home Solutions,(510) 310-1338,info@exclusivehomesolutions.com ✅,"9154 Park Blvd, New York, NY",https://exclusivehomesolutions.com,Interior Designers,4.3,179,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,True,unknown,n/a
Contemporary Living Spaces,(707) 756-9610,info@contemporarylivingspaces.com ⚠️,"9279 Oak Ave, New York, NY",https://contemporarylivingspaces.com,Interior Designers,4.8,162,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,False,unknown,n/a
Outstanding Home Solutions,(650) 562-4037,info@outstandinghomesolutions.com ⚠️,"9508 Park Blvd, New York, NY",https://outstandinghomesolutions.com,Interior Designers,4.4,198,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,False,unknown,n/a
Timeless Design Company,(925) 670-9729,info@timelessdesigncompany.com ⚠️,"6628 Oak Ave, New York, NY",https://timelessdesigncompany.com,Interior Designers,4.5,83,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,False,unknown,n/a
Premium Home Interiors,(925) 989-3634,info@premiumhomeinteriors.com ⚠️,"2849 Park Blvd, New York, NY",https://premiumhomeinteriors.com,Interior Designers,4.3,69,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:50:09,Houzz,False,unknown,n/a
