Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Bella Vista New York,(986) 457-5996,team@bellavista.com,"290 Wilson Avenue, New York, NY",https://bellavista.com,Italian Restaurant,4.0,399,$$$$,Uptown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional italian restaurant serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
Golden Dragon New York,(387) 318-1659,contact@goldendragon.com,"6996 Elm Street, New York, NY",https://goldendragon.com,Chinese Restaurant,4.9,740,$,Central District,Mon-Sat: 8AM-8PM,Professional chinese restaurant serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
The Local Burger New York,(461) 893-5548,support@localburger.com,"1818 Broadway, New York, NY",https://localburger.com,American Restaurant,4.0,721,$$,South District,Tue-Sat: 9AM-7PM,Professional american restaurant serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
Sakura Sushi New York,(359) 746-4378,contact@sakurasushi.com,"7286 Main Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,3.6,20,$$$,North End,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional japanese restaurant serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
Mediterranean Grill New York,(498) 887-8654,info@mediterraneangrill.com,"4069 Pine Street, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.3,701,$,West Side,Mon-Sat: 8AM-8PM,Professional mediterranean restaurant serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
Taco Fiesta New York,(497) 353-1658,admin@tacofiesta.com,"1462 Business Boulevard, New York, NY",https://tacofiesta.com,Mexican Restaurant,4.2,660,$$$,North End,Mon-Sat: 8AM-8PM,Professional mexican restaurant serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
Blue Moon Bistro New York,(277) 553-6371,welcome@bluemoonbistro.com,"1557 Maple Avenue, New York, NY",https://bluemoonbistro.com,French Restaurant,4.6,506,$$$,Midtown,Mon-Fri: 9AM-6PM,Professional french restaurant serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
Spice Garden New York,(879) 416-9955,service@spicegarden.com,"981 Main Street, New York, NY",https://spicegarden.com,Indian Restaurant,4.9,603,$,Central District,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional indian restaurant serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
Corner Deli New York,(616) 606-7427,team@cornerdeli.com,"3912 Park Avenue, New York, NY",https://cornerdeli.com,Deli,5.0,719,$$,South District,Mon-Fri: 9AM-6PM,Professional deli serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
Pizza Corner New York,(533) 394-1667,contact@pizzacorner.com,"7982 Wilson Avenue, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.6,383,$$$,South District,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional pizza restaurant serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
Sunrise Cafe New York,(349) 934-4728,connect@sunrisecafe.com,"3943 Oak Avenue, New York, NY",https://sunrisecafe.com,Cafe,3.8,440,$,North End,Mon-Sun: 24/7,Professional cafe serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
Ocean View Seafood New York,(921) 231-5457,team@oceanviewseafood.com,"9836 Madison Street, New York, NY",https://oceanviewseafood.com,Seafood Restaurant,4.6,122,$$$,Uptown,Daily: 10AM-10PM,Professional seafood restaurant serving New York and surrounding areas,Yelp,2025-09-13 23:30:52
