business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Artistic Home Solutions,(650) 852-5305,info@artistichomesolutions.com ⚠️,"6333 Oak Ave, New York, NY",https://artistichomesolutions.com,Interior Designers,4.3,47,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Premier Design Services,(510) 366-2768,info@premierdesignservices.com ⚠️,"1705 Oak Ave, New York, NY",https://premierdesignservices.com,Interior Designers,4.7,170,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Innovative Home Concepts,(209) 852-6272,info@innovativehomeconcepts.com ✅,"5154 Creative Dr, New York, NY",https://innovativehomeconcepts.com,Interior Designers,4.7,195,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,True,unknown,n/a
Premier Design Services,(650) 964-5831,info@premierdesignservices.com ⚠️,"3050 Creative Dr, New York, NY",https://premierdesignservices.com,Interior Designers,4.5,71,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Classic Home Renovations,(510) 249-2434,office@classichomerenovations.com ✅,"3698 Park Blvd, New York, NY",https://classichomerenovations.com,Interior Designers,4.4,172,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,True,unknown,n/a
Contemporary Living Spaces,(925) 281-8484,info@contemporarylivingspaces.com ⚠️,"1167 Park Blvd, New York, NY",https://contemporarylivingspaces.com,Interior Designers,4.4,133,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Remarkable Interior Design,(209) 219-7685,info@remarkableinteriordesign.com ⚠️,"724 Creative Dr, New York, NY",https://remarkableinteriordesign.com,Interior Designers,5.0,188,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Classic Home Renovations,(209) 206-8137,info@classichomerenovations.com ✅,"9972 Park Blvd, New York, NY",https://classichomerenovations.com,Interior Designers,4.7,192,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,True,unknown,n/a
Creative Interior Concepts,(707) 609-8222,info@creativeinteriorconcepts.com ⚠️,"2572 Design Way, New York, NY",https://creativeinteriorconcepts.com,Interior Designers,4.2,121,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Remarkable Interior Design,(707) 987-3943,info@remarkableinteriordesign.com ⚠️,"248 Main St, New York, NY",https://remarkableinteriordesign.com,Interior Designers,4.8,71,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Modern Space Solutions,(415) 669-2607,info@modernspacesolutions.com ✅,"6581 Park Blvd, New York, NY",https://modernspacesolutions.com,Interior Designers,4.3,127,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,True,unknown,n/a
Signature Interior Design,(831) 726-6562,info@signatureinteriordesign.com ⚠️,"9970 Main St, New York, NY",https://signatureinteriordesign.com,Interior Designers,4.5,139,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Luxury Living Designs,(925) 201-9578,info@luxurylivingdesigns.com ⚠️,"4770 Park Blvd, New York, NY",https://luxurylivingdesigns.com,Interior Designers,4.5,148,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Artistic Home Solutions,(925) 871-4300,info@artistichomesolutions.com ⚠️,"5115 Park Blvd, New York, NY",https://artistichomesolutions.com,Interior Designers,4.4,101,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Elite Design Studio,(925) 971-9134,info@elitedesignstudio.com ⚠️,"6605 Creative Dr, New York, NY",https://elitedesignstudio.com,Interior Designers,4.3,42,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Professional Design Group,(707) 247-2511,info@professionaldesigngroup.com ⚠️,"109 Oak Ave, New York, NY",https://professionaldesigngroup.com,Interior Designers,4.5,125,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Exclusive Home Solutions,(408) 393-8632,info@exclusivehomesolutions.com ✅,"3497 Main St, New York, NY",https://exclusivehomesolutions.com,Interior Designers,4.7,182,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,True,unknown,n/a
Exceptional Interior Design,(831) 661-5050,info@exceptionalinteriordesign.com ⚠️,"2878 Design Way, New York, NY",https://exceptionalinteriordesign.com,Interior Designers,4.4,110,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Professional Design Group,(650) 616-7487,info@professionaldesigngroup.com ⚠️,"2309 Main St, New York, NY",https://professionaldesigngroup.com,Interior Designers,4.6,49,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Luxury Living Designs,(831) 620-1606,info@luxurylivingdesigns.com ⚠️,"5217 Creative Dr, New York, NY",https://luxurylivingdesigns.com,Interior Designers,4.8,155,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
Sophisticated Design Studio,(209) 831-2810,info@sophisticateddesignstudio.com ⚠️,"3237 Park Blvd, New York, NY",https://sophisticateddesignstudio.com,Interior Designers,4.7,132,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 22:37:30,Houzz,False,unknown,n/a
