Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Designs by Jacqueline,(651) 600-8877,info@facebook.com,720 5th St N,https://www.facebook.com/DesignsbyJacquelineD/?view_public_f,Interior Designers & Decorators,4.5,54,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:55:54
SJP Designs,(320) 248-6605,,"Litchfield, MN 55355",,"Interior Designers & DecoratorsDraperies, Curtains & Window TreatmentsHome Improvements",3.8,132,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:55:54
Debra J Designs,(320) 266-8106,info@debrajdesigns.net,1 Cokato St W,http://www.debrajdesigns.net,Interior Designers & DecoratorsColor ConsultantsHome Decor,4.1,54,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:55:54
Rahn Painting & Decorating,(320) 587-9283,,17129 235th Ct,,Interior Designers & DecoratorsPainting Contractors,4.7,161,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:55:54
Lundeen Interiors,(320) 286-2611,,370 Millard Ave SW,,Interior Designers & DecoratorsCarpet & Rug Dealers,4.7,92,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:55:54
Interior Views,(320) 587-6077,,12873 Meeker Mcleod Ave,,"Interior Designers & DecoratorsDraperies, Curtains & Window TreatmentsHome Improvements",4.0,127,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:55:54
Interior Views - Dawn Ashburn,(320) 587-6077,,125 Main St S Unit 2,,Interior Designers & Decorators,4.8,30,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:55:54
Lori Deantoni Interior Design,(320) 236-7824,,7226 Quinn Ave NW,,Interior Designers & Decorators,3.7,136,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:55:54
Barrett Decorating Inc,(320) 274-6808,info@barrettdecorating.com,8518 Montgomery Ave NW,http://www.barrettdecorating.com,Interior Designers & DecoratorsWallpapers & Wallcoverings-InstallationPainting Contractors,4.0,174,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:55:54
JCPenney,(320) 587-4704,info@jcpenney.com,1060 Highway 15 S,http://jcpenney.com,Interior Designers & DecoratorsDepartment StoresClothing Stores,3.9,89,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:55:54
