business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,yelp_url,scraped_date,search_query,search_location
The Local Burger - New York,(235) 858-3552,hello@localburger.com,"190 Main St, New York, NY",https://localburger.com,American Restaurant,3.5,216,$,Downtown,Mon-Fri: 9AM-6PM,"Fresh, locally sourced burgers",https://yelp.com/biz/the-local-burger---new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
The Local Burger - New York,(922) 737-5366,hello@localburger.com,"166 Pine St, New York, NY",https://localburger.com,American Restaurant,4.1,349,$,Downtown,Mon-Fri: 9AM-6PM,"Fresh, locally sourced burgers",https://yelp.com/biz/the-local-burger---new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
Sakura Sushi New York,(899) 409-2057,orders@sakurasushi.com,"278 Business Blvd, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.8,520,$$$,Downtown,Mon-Fri: 9AM-6PM,Fresh sushi and Japanese cuisine,https://yelp.com/biz/sakura-sushi-new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
The Local Burger - New York,(805) 876-9600,hello@localburger.com,"880 Business Blvd, New York, NY",https://localburger.com,American Restaurant,4.5,614,$,Downtown,Mon-Fri: 9AM-6PM,"Fresh, locally sourced burgers",https://yelp.com/biz/the-local-burger---new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
Bella Vista New York,(348) 856-9503,info@bellavista.com,"607 Oak Ave, New York, NY",https://bellavista.com,Italian Restaurant,4.6,256,$,Downtown,Mon-Fri: 9AM-6PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
Bella Vista New York,(797) 297-4384,info@bellavista.com,"821 Main St, New York, NY",https://bellavista.com,Italian Restaurant,5.0,494,$$$,Downtown,Mon-Fri: 9AM-6PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
Bella Vista New York,(508) 277-1628,info@bellavista.com,"608 Business Blvd, New York, NY",https://bellavista.com,Italian Restaurant,3.9,246,$$$,Downtown,Mon-Fri: 9AM-6PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
Bella Vista New York,(861) 737-3170,info@bellavista.com,"887 Main St, New York, NY",https://bellavista.com,Italian Restaurant,3.6,625,$$$,Downtown,Mon-Fri: 9AM-6PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
Sakura Sushi New York,(870) 444-1325,orders@sakurasushi.com,"128 Oak Ave, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.4,121,$,Downtown,Mon-Fri: 9AM-6PM,Fresh sushi and Japanese cuisine,https://yelp.com/biz/sakura-sushi-new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
The Local Burger - New York,(302) 657-7911,hello@localburger.com,"456 Oak Ave, New York, NY",https://localburger.com,American Restaurant,4.2,149,$,Downtown,Mon-Fri: 9AM-6PM,"Fresh, locally sourced burgers",https://yelp.com/biz/the-local-burger---new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
Sakura Sushi New York,(559) 480-2676,orders@sakurasushi.com,"743 Main St, New York, NY",https://sakurasushi.com,Japanese Restaurant,3.6,253,$,Downtown,Mon-Fri: 9AM-6PM,Fresh sushi and Japanese cuisine,https://yelp.com/biz/sakura-sushi-new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
The Local Burger - New York,(530) 622-5801,hello@localburger.com,"451 Pine St, New York, NY",https://localburger.com,American Restaurant,4.2,550,$,Downtown,Mon-Fri: 9AM-6PM,"Fresh, locally sourced burgers",https://yelp.com/biz/the-local-burger---new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
Sakura Sushi New York,(983) 434-7632,orders@sakurasushi.com,"536 Oak Ave, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.3,157,$,Downtown,Mon-Fri: 9AM-6PM,Fresh sushi and Japanese cuisine,https://yelp.com/biz/sakura-sushi-new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
Bella Vista New York,(896) 502-6077,info@bellavista.com,"259 Oak Ave, New York, NY",https://bellavista.com,Italian Restaurant,4.4,466,$$$,Downtown,Mon-Fri: 9AM-6PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-new-york,2025-09-09 17:13:43,restaurants,"New York, NY"
