Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Boulder Creek Enterprises,(612) 968-2305,,66354 362nd St,,Altering & Remodeling Contractors,3.8,57,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
"Valley Construction, Inc.",(320) 310-3473,,,,Altering & Remodeling ContractorsGeneral Contractors,4.1,126,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Pure Breathing Solutions,(952) 236-6831,info@purebreathingsolutions.com,18497 578th Ave,http://www.purebreathingsolutions.com,Altering & Remodeling ContractorsMold RemediationGeneral Contractors,4.9,130,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Sears Home Improvement Roofing Systems,(320) 693-0224,info@searshomeservices.com,"Litchfield, MN 55355",https://www.searshomeservices.com/improve/roofing-replacement?SID=5304&PID=11&utm_source=iyp&utm_medium=iyp&utm_campaign=Roofing,Altering & Remodeling ContractorsWindowsBath Equipment & Supplies,4.2,78,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
John Gabrielson Construction,(320) 221-3950,,,,Altering & Remodeling ContractorsHome BuildersBuilding Contractors-Commercial & Industrial,4.0,72,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
S. Robideau Construction,(320) 434-1418,,,,Altering & Remodeling ContractorsBuilding Contractors-Commercial & IndustrialFire & Water Damage Restoration,5.0,186,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Jacuzzi Bath Remodel,(844) 817-5642,contact@jacuzzibath.com,,/nationwide/mip/jacuzzi-bath-remodel-563339080?lid=1002076010172,"Bathroom RemodelingBathroom Fixtures, Cabinets & AccessoriesBath Equipment & Supplies",4.4,74,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
KOHLER Walk-In Bath,(800) 391-5192,contact@kohlerwalkin.com,,/nationwide/mip/kohler-walk-in-bath-6291303?lid=1002194253826,"Bathroom Fixtures, Cabinets & AccessoriesBathroom RemodelingShower Doors & Enclosures",4.6,121,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Safe Step Walk-In Tub Co,(800) 471-1906,contact@safestep.com,,/nationwide/mip/safe-step-walk-in-tub-co-470535555?lid=1002147623223,Whirlpool Bath Equipment & SupplyShower Doors & EnclosuresHome Improvements,4.0,103,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Mineral Service Plus,(952) 466-6943,service@mineralserviceplus.com,16409 371st Ave,https://mineralserviceplus.com,"Plumbing Fixtures, Parts & SuppliesUtility CompaniesBuilding Contractors",3.6,45,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Aci Supply,(800) 575-9612,info@acisupply.com,,https://www.acisupply.com/,Fence-Wholesale & ManufacturersOrnamental Metal WorkBurglar Bars,3.7,182,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
William Asp Construction,(320) 583-8195,,66650 180th St,,General ContractorsHome BuildersPlastering Contractors,5.0,150,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Wimmer Brothers Builders,(320) 693-2530,,67993 260th St,,General ContractorsBuilding Contractors-Commercial & IndustrialReal Estate Developers,4.5,100,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Rettman Don W Construction & Excavating,(320) 693-2706,dark_wood_@2x.png,68108 215th St,http://www.asbestosdemolition.net,Excavation ContractorsSeptic Tanks & SystemsSewer Contractors,3.7,51,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Custom Marble & Granite,(320) 857-2057,info@cmarbleandgranite.com,310 Atlantic Ave W,http://www.cmarbleandgranite.com,Home ImprovementsCounter TopsGranite,4.1,110,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Michael Murphy Construction LLC,(320) 593-2899,,63191 Us Highway 12 E,,General ContractorsConcrete ContractorsHome Builders,4.4,168,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Westone Builders,(612) 605-3883,info@westonebuilders.com,66354 362nd St,https://westonebuilders.com,Home Design & PlanningHome ImprovementsArchitects,4.6,97,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Elliott Drywall,(320) 699-1402,,21008 654th Ave,,Building Contractors,4.0,168,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Gabrielson Tree Service,(320) 221-3950,info@gabrielsontreeservice.com,27344 Csah 11,http://www.gabrielsontreeservice.com,Tree ServiceGeneral ContractorsStump Removal & Grinding,4.2,69,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Lundin Construction,(320) 693-3852,,28560 660th Ave,,Home BuildersGeneral ContractorsBuilding Contractors-Commercial & Industrial,3.7,167,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
"Systems West, Inc",(320) 693-8779,info@systemswestinc.com,24054 Minnesota Highway 22,http://www.systemswestinc.com,Construction ConsultantsBuilding Contractors-Commercial & IndustrialGeneral Contractors,4.3,152,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Gabions Inc,(320) 693-3285,,503 E Highway 12,,Contractors Equipment & SuppliesGeneral Contractors,3.7,71,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Next General Studios,(320) 699-0338,info@facebook.com,808 S Marshall Ave,https://www.facebook.com/Next-Gen-Studios-341033059409589,General Contractors,4.2,144,$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
"Lifestyle Homes of Litchfield, Inc.",(320) 693-7993,info@lifestylehomesmn.com,61430 Us Highway 12,https://lifestylehomesmn.com,Mobile Home DealersReal Estate AgentsHome Builders,3.9,184,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Wimmer Brothers Builders,(320) 275-3265,info@dassel-mn.uscontractorsnearme.com,71002 Us Highway 12,http://dassel-mn.uscontractorsnearme.com/wimmer-brothers-builders.html,General ContractorsWindowsSiding Contractors,3.7,145,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
David Josephson Construction Inc,(320) 275-3014,,21038 723rd Ave,,General ContractorsReal Estate DevelopersBuilding Contractors,3.9,89,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Dahl Builders Inc,(320) 275-4254,,72398 273rd St,,General ContractorsReal Estate DevelopersBuilding Contractors,4.1,85,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Finch Constructions,(320) 693-2636,,321 W Darwin St,,Home BuildersHandyman ServicesBuilding Contractors,3.9,198,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Rokala Construction,(320) 275-4695,dli.laborstandards@state.mn.us,73675 215th St,http://www.dli.mn.gov,General ContractorsReal Estate DevelopersBuilding Contractors,4.7,78,$$$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
Betker Mark Construction Inc,(320) 587-3145,,16932 705th Ave,,General ContractorsReal Estate DevelopersCarpenters,3.8,20,$,Yellow Pages Listed,,,Yellow Pages,2025-09-10 17:59:07
