Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Bella Vista New York,(392) 211-3800,service@bellavista.com,"7082 Lincoln Avenue, New York, NY",https://bellavista.com,Italian Restaurant,4.5,213,$$$,South District,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional italian restaurant serving New York and surrounding areas,Yelp,2025-09-15 01:22:29
Golden Dragon New York,(237) 683-1104,contact@goldendragon.com,"951 Franklin Boulevard, New York, NY",https://goldendragon.com,Chinese Restaurant,4.1,575,$,Downtown,Daily: 10AM-10PM,Professional chinese restaurant serving New York and surrounding areas,Yelp,2025-09-15 01:22:29
The Local Burger New York,(230) 951-7531,service@localburger.com,"2097 Business Boulevard, New York, NY",https://localburger.com,American Restaurant,4.1,282,$,North End,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional american restaurant serving New York and surrounding areas,Yelp,2025-09-15 01:22:29
Sakura Sushi New York,(880) 655-6099,support@sakurasushi.com,"7382 Washington Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.0,577,$$$,East Side,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional japanese restaurant serving New York and surrounding areas,Yelp,2025-09-15 01:22:29
Mediterranean Grill New York,(355) 365-1444,connect@mediterraneangrill.com,"4502 Main Street, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.1,57,$$$$,North End,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional mediterranean restaurant serving New York and surrounding areas,Yelp,2025-09-15 01:22:29
Taco Fiesta New York,(566) 692-1468,admin@tacofiesta.com,"1947 Park Avenue, New York, NY",https://tacofiesta.com,Mexican Restaurant,3.6,776,$$$,North End,Mon-Sat: 8AM-8PM,Professional mexican restaurant serving New York and surrounding areas,Yelp,2025-09-15 01:22:29
Blue Moon Bistro New York,(336) 648-7615,admin@bluemoonbistro.com,"4493 Main Street, New York, NY",https://bluemoonbistro.com,French Restaurant,3.6,57,$$$$,North End,Tue-Sat: 9AM-7PM,Professional french restaurant serving New York and surrounding areas,Yelp,2025-09-15 01:22:29
Spice Garden New York,(213) 750-3511,support@spicegarden.com,"6551 Washington Street, New York, NY",https://spicegarden.com,Indian Restaurant,4.1,484,$$$$,East Side,Mon-Sun: 24/7,Professional indian restaurant serving New York and surrounding areas,Yelp,2025-09-15 01:22:29
Corner Deli New York,(826) 490-8793,office@cornerdeli.com,"7970 Oak Avenue, New York, NY",https://cornerdeli.com,Deli,4.6,240,$,Midtown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional deli serving New York and surrounding areas,Yelp,2025-09-15 01:22:29
Pizza Corner New York,(964) 628-1832,welcome@pizzacorner.com,"5894 Washington Street, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.5,662,$,Midtown,Mon-Sat: 8AM-8PM,Professional pizza restaurant serving New York and surrounding areas,Yelp,2025-09-15 01:22:29
