business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,yelp_url,scraped_date,search_query,search_location
Bella Vista,(689) 927-7960,office@bellavista.com,"1373 Second Street, New York, NY",https://bellavista.com,Italian Restaurant,4.1,138,$$$$,Central District,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional italian restaurant serving New York and surrounding areas,https://yelp.com/biz/bella-vista,2025-09-10 02:21:35,restaurants,"New York, NY"
Golden Dragon,(539) 234-9621,hello@goldendragon.com,"7664 First Avenue, New York, NY",https://goldendragon.com,Chinese Restaurant,4.7,520,$$$,Uptown,Mon-Sat: 8AM-8PM,Professional chinese restaurant serving New York and surrounding areas,https://yelp.com/biz/golden-dragon,2025-09-10 02:21:35,restaurants,"New York, NY"
The Local Burger,(855) 895-9602,office@localburger.com,"3852 Jefferson Drive, New York, NY",https://localburger.com,American Restaurant,3.9,635,$$$,Central District,Mon-Sun: 24/7,Professional american restaurant serving New York and surrounding areas,https://yelp.com/biz/the-local-burger,2025-09-10 02:21:35,restaurants,"New York, NY"
Sakura Sushi,(380) 697-7713,support@sakurasushi.com,"3270 Roosevelt Avenue, New York, NY",https://sakurasushi.com,Japanese Restaurant,4.8,353,$$$$,West Side,Mon-Sun: 24/7,Professional japanese restaurant serving New York and surrounding areas,https://yelp.com/biz/sakura-sushi,2025-09-10 02:21:35,restaurants,"New York, NY"
Mediterranean Grill,(964) 573-6090,support@mediterraneangrill.com,"435 Maple Avenue, New York, NY",https://mediterraneangrill.com,Mediterranean Restaurant,4.1,314,$$,East Side,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional mediterranean restaurant serving New York and surrounding areas,https://yelp.com/biz/mediterranean-grill,2025-09-10 02:21:35,restaurants,"New York, NY"
Taco Fiesta,(262) 617-9352,office@tacofiesta.com,"1484 Main Street, New York, NY",https://tacofiesta.com,Mexican Restaurant,4.2,529,$,South District,Mon-Fri: 9AM-6PM,Professional mexican restaurant serving New York and surrounding areas,https://yelp.com/biz/taco-fiesta,2025-09-10 02:21:35,restaurants,"New York, NY"
Blue Moon Bistro,(696) 890-7981,info@bluemoonbistro.com,"3010 Oak Avenue, New York, NY",https://bluemoonbistro.com,French Restaurant,4.4,214,$,West Side,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional french restaurant serving New York and surrounding areas,https://yelp.com/biz/blue-moon-bistro,2025-09-10 02:21:35,restaurants,"New York, NY"
Spice Garden,(300) 273-9173,support@spicegarden.com,"9136 Commerce Drive, New York, NY",https://spicegarden.com,Indian Restaurant,4.3,571,$$$,Midtown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional indian restaurant serving New York and surrounding areas,https://yelp.com/biz/spice-garden,2025-09-10 02:21:35,restaurants,"New York, NY"
Corner Deli,(740) 543-9735,hello@cornerdeli.com,"6285 Jefferson Drive, New York, NY",https://cornerdeli.com,Deli,4.1,407,$$$,Central District,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional deli serving New York and surrounding areas,https://yelp.com/biz/corner-deli,2025-09-10 02:21:35,restaurants,"New York, NY"
Pizza Corner,(537) 828-6582,office@pizzacorner.com,"8153 Lincoln Avenue, New York, NY",https://pizzacorner.com,Pizza Restaurant,4.4,67,$$$,North End,Tue-Sat: 9AM-7PM,Professional pizza restaurant serving New York and surrounding areas,https://yelp.com/biz/pizza-corner,2025-09-10 02:21:35,restaurants,"New York, NY"
Sunrise Cafe,(648) 253-3079,support@sunrisecafe.com,"8372 Roosevelt Avenue, New York, NY",https://sunrisecafe.com,Cafe,4.7,572,$$,East Side,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional cafe serving New York and surrounding areas,https://yelp.com/biz/sunrise-cafe,2025-09-10 02:21:35,restaurants,"New York, NY"
