business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,yelp_url,scraped_date,search_query,search_location
Smile Dental UK,(542) 616-3545,appointments@smiledental.com,"455 Main St, UK, NY",https://smiledental.com,Dentist,4.7,242,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(942) 236-3708,appointments@smiledental.com,"990 Business Blvd, UK, NY",https://smiledental.com,Dentist,4.2,381,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(950) 659-9428,appointments@smiledental.com,"286 Business Blvd, UK, NY",https://smiledental.com,Dentist,5.0,115,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
UK Family Dentistry,(552) 440-6502,info@familydentistry.com,"295 Pine St, UK, NY",https://familydentistry.com,Family Dentist,4.8,111,$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(692) 877-8116,appointments@smiledental.com,"593 Pine St, UK, NY",https://smiledental.com,Dentist,4.0,564,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(891) 298-2618,appointments@smiledental.com,"673 Main St, UK, NY",https://smiledental.com,Dentist,4.8,213,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(292) 388-7162,appointments@smiledental.com,"424 Oak Ave, UK, NY",https://smiledental.com,Dentist,3.6,546,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(675) 328-7276,appointments@smiledental.com,"226 Pine St, UK, NY",https://smiledental.com,Dentist,3.9,67,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
UK Family Dentistry,(997) 226-3305,info@familydentistry.com,"159 Business Blvd, UK, NY",https://familydentistry.com,Family Dentist,3.6,204,$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:17:28,dentists,UK
UK Family Dentistry,(628) 332-9881,info@familydentistry.com,"588 Oak Ave, UK, NY",https://familydentistry.com,Family Dentist,4.3,560,$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(682) 621-5797,appointments@smiledental.com,"351 Pine St, UK, NY",https://smiledental.com,Dentist,5.0,506,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
UK Family Dentistry,(767) 885-9218,info@familydentistry.com,"159 Business Blvd, UK, NY",https://familydentistry.com,Family Dentist,4.3,370,$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:17:28,dentists,UK
UK Family Dentistry,(397) 519-9128,info@familydentistry.com,"204 Main St, UK, NY",https://familydentistry.com,Family Dentist,3.7,326,$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(830) 787-4265,appointments@smiledental.com,"638 Oak Ave, UK, NY",https://smiledental.com,Dentist,4.7,597,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
UK Family Dentistry,(647) 752-3529,info@familydentistry.com,"314 Main St, UK, NY",https://familydentistry.com,Family Dentist,4.6,634,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:17:28,dentists,UK
UK Family Dentistry,(974) 562-5555,info@familydentistry.com,"913 Main St, UK, NY",https://familydentistry.com,Family Dentist,4.0,389,$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(949) 613-4170,appointments@smiledental.com,"342 Business Blvd, UK, NY",https://smiledental.com,Dentist,3.6,602,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
UK Family Dentistry,(557) 291-6349,info@familydentistry.com,"691 Main St, UK, NY",https://familydentistry.com,Family Dentist,4.3,587,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(394) 460-3126,appointments@smiledental.com,"613 Oak Ave, UK, NY",https://smiledental.com,Dentist,3.6,516,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
UK Family Dentistry,(637) 952-5276,info@familydentistry.com,"551 Main St, UK, NY",https://familydentistry.com,Family Dentist,3.9,300,$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:17:28,dentists,UK
UK Family Dentistry,(921) 425-5484,info@familydentistry.com,"776 Oak Ave, UK, NY",https://familydentistry.com,Family Dentist,4.7,314,$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:17:28,dentists,UK
Smile Dental UK,(455) 346-3663,appointments@smiledental.com,"574 Business Blvd, UK, NY",https://smiledental.com,Dentist,3.7,533,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:17:28,dentists,UK
