Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Signature Interior Design,(510) 739-6265,info@signatureinteriordesign.com ⚠️,"4372 Park Blvd, New York, NY",https://signatureinteriordesign.com,Interior Designers,4.3,146,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Classic Home Renovations,(925) 724-6293,info@classichomerenovations.com ✅,"8095 Creative Dr, New York, NY",https://classichomerenovations.com,Interior Designers,4.2,30,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Custom Design Specialists,(408) 343-8843,info@customdesignspecialists.com ⚠️,"3381 Oak Ave, New York, NY",https://customdesignspecialists.com,Interior Designers,5.0,120,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Distinctive Home Designs,(707) 559-4050,info@distinctivehomedesigns.com ⚠️,"5097 Oak Ave, New York, NY",https://distinctivehomedesigns.com,Interior Designers,5.0,44,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Professional Design Group,(707) 401-2396,info@professionaldesigngroup.com ⚠️,"3740 Creative Dr, New York, NY",https://professionaldesigngroup.com,Interior Designers,4.7,98,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Impressive Design Studio,(650) 253-8361,info@impressivedesignstudio.com ⚠️,"9440 Creative Dr, New York, NY",https://impressivedesignstudio.com,Interior Designers,4.3,200,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Professional Design Group,(209) 902-7384,info@professionaldesigngroup.com ⚠️,"8380 Park Blvd, New York, NY",https://professionaldesigngroup.com,Interior Designers,4.2,64,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Distinctive Home Designs,(209) 642-9628,info@distinctivehomedesigns.com ⚠️,"4923 Creative Dr, New York, NY",https://distinctivehomedesigns.com,Interior Designers,4.5,28,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Premium Home Interiors,(650) 871-4588,info@premiumhomeinteriors.com ⚠️,"4440 Main St, New York, NY",https://premiumhomeinteriors.com,Interior Designers,4.3,158,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Distinctive Home Designs,(831) 889-8808,info@distinctivehomedesigns.com ⚠️,"2121 Park Blvd, New York, NY",https://distinctivehomedesigns.com,Interior Designers,4.9,147,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Stylish Home Concepts,(925) 897-8273,info@stylishhomeconcepts.com ⚠️,"5628 Oak Ave, New York, NY",https://stylishhomeconcepts.com,Interior Designers,4.9,139,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Luxury Living Designs,(408) 962-9697,info@luxurylivingdesigns.com ✅,"6236 Oak Ave, New York, NY",https://luxurylivingdesigns.com,Interior Designers,4.8,47,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Remarkable Interior Design,(707) 866-9757,info@remarkableinteriordesign.com ⚠️,"8188 Oak Ave, New York, NY",https://remarkableinteriordesign.com,Interior Designers,4.3,159,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Elite Design Studio,(209) 240-9898,info@elitedesignstudio.com ⚠️,"9700 Main St, New York, NY",https://elitedesignstudio.com,Interior Designers,4.4,193,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Exclusive Home Solutions,(408) 773-5848,info@exclusivehomesolutions.com ✅,"679 Oak Ave, New York, NY",https://exclusivehomesolutions.com,Interior Designers,4.7,98,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
Classic Home Renovations,(650) 529-6775,info@classichomerenovations.com ✅,"7065 Main St, New York, NY",https://classichomerenovations.com,Interior Designers,4.2,184,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 19:06:35
