business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,yelp_url,scraped_date,search_query,search_location
Smile Dental UK,(857) 644-3294,appointments@smiledental.com,"742 Pine St, UK, NY",https://smiledental.com,Dentist,4.6,618,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
Smile Dental UK,(244) 675-3544,appointments@smiledental.com,"434 Main St, UK, NY",https://smiledental.com,Dentist,4.3,725,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
Smile Dental UK,(891) 337-7038,appointments@smiledental.com,"613 Business Blvd, UK, NY",https://smiledental.com,Dentist,4.7,680,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
Smile Dental UK,(625) 392-2483,appointments@smiledental.com,"154 Business Blvd, UK, NY",https://smiledental.com,Dentist,4.0,799,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
Smile Dental UK,(518) 748-4248,appointments@smiledental.com,"295 Oak Ave, UK, NY",https://smiledental.com,Dentist,3.7,54,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
Smile Dental UK,(551) 956-7956,appointments@smiledental.com,"598 Business Blvd, UK, NY",https://smiledental.com,Dentist,4.2,504,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
UK Family Dentistry,(414) 812-4933,info@familydentistry.com,"774 Pine St, UK, NY",https://familydentistry.com,Family Dentist,4.7,110,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:16:27,dentists,UK
Smile Dental UK,(619) 680-7586,appointments@smiledental.com,"492 Business Blvd, UK, NY",https://smiledental.com,Dentist,4.5,728,$$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
Smile Dental UK,(577) 823-6302,appointments@smiledental.com,"819 Business Blvd, UK, NY",https://smiledental.com,Dentist,4.2,662,$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
UK Family Dentistry,(339) 733-5565,info@familydentistry.com,"372 Oak Ave, UK, NY",https://familydentistry.com,Family Dentist,3.6,527,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:16:27,dentists,UK
Smile Dental UK,(964) 234-6316,appointments@smiledental.com,"509 Business Blvd, UK, NY",https://smiledental.com,Dentist,4.6,714,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
UK Family Dentistry,(208) 731-9271,info@familydentistry.com,"195 Main St, UK, NY",https://familydentistry.com,Family Dentist,4.5,684,$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:16:27,dentists,UK
Smile Dental UK,(893) 669-1970,appointments@smiledental.com,"231 Pine St, UK, NY",https://smiledental.com,Dentist,3.6,690,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
UK Family Dentistry,(714) 361-1574,info@familydentistry.com,"451 Business Blvd, UK, NY",https://familydentistry.com,Family Dentist,5.0,615,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:16:27,dentists,UK
Smile Dental UK,(430) 482-5803,appointments@smiledental.com,"450 Pine St, UK, NY",https://smiledental.com,Dentist,3.6,756,$$,Downtown,Mon-Fri: 9AM-6PM,Complete dental care services,https://yelp.com/biz/smile-dental-uk,2025-09-10 02:16:27,dentists,UK
UK Family Dentistry,(565) 324-9264,info@familydentistry.com,"160 Pine St, UK, NY",https://familydentistry.com,Family Dentist,4.8,103,$$$,Downtown,Mon-Fri: 9AM-6PM,Family-friendly dental practice,https://yelp.com/biz/uk-family-dentistry,2025-09-10 02:16:27,dentists,UK
