business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,scraped_date,source,email_verified,email_verification_status,email_verification_confidence
Exceptional Interior Design,(925) 306-3792,info@exceptionalinteriordesign.com ⚠️,"5548 Main St, New York, NY",https://exceptionalinteriordesign.com,Interior Designers,4.6,115,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Timeless Design Company,(925) 509-8450,info@timelessdesigncompany.com ⚠️,"5008 Oak Ave, New York, NY",https://timelessdesigncompany.com,Interior Designers,4.8,87,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Elegant Interior Solutions,(415) 598-8994,info@elegantinteriorsolutions.com ⚠️,"9642 Main St, New York, NY",https://elegantinteriorsolutions.com,Interior Designers,4.5,143,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Modern Space Solutions,(415) 775-8051,info@modernspacesolutions.com ⚠️,"7527 Oak Ave, New York, NY",https://modernspacesolutions.com,Interior Designers,4.8,147,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Sophisticated Design Studio,(209) 251-8083,info@sophisticateddesignstudio.com ⚠️,"8415 Park Blvd, New York, NY",https://sophisticateddesignstudio.com,Interior Designers,4.5,181,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Distinctive Home Designs,(650) 699-2693,info@distinctivehomedesigns.com ⚠️,"5404 Design Way, New York, NY",https://distinctivehomedesigns.com,Interior Designers,4.6,118,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Professional Design Group,(650) 616-1889,info@professionaldesigngroup.com ⚠️,"1814 Park Blvd, New York, NY",https://professionaldesigngroup.com,Interior Designers,4.9,109,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Innovative Home Concepts,(209) 303-1098,info@innovativehomeconcepts.com ✅,"3071 Oak Ave, New York, NY",https://innovativehomeconcepts.com,Interior Designers,4.2,82,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,True,unknown,n/a
Signature Interior Design,(209) 364-5703,info@signatureinteriordesign.com ⚠️,"6939 Main St, New York, NY",https://signatureinteriordesign.com,Interior Designers,4.7,27,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Sophisticated Design Studio,(510) 348-2455,info@sophisticateddesignstudio.com ⚠️,"9551 Creative Dr, New York, NY",https://sophisticateddesignstudio.com,Interior Designers,4.9,170,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Elite Design Studio,(831) 797-7323,info@elitedesignstudio.com ⚠️,"3160 Creative Dr, New York, NY",https://elitedesignstudio.com,Interior Designers,4.7,179,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Elite Design Studio,(831) 203-1624,info@elitedesignstudio.com ⚠️,"9308 Main St, New York, NY",https://elitedesignstudio.com,Interior Designers,4.4,193,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Luxury Living Designs,(650) 223-2361,info@luxurylivingdesigns.com ✅,"1047 Creative Dr, New York, NY",https://luxurylivingdesigns.com,Interior Designers,4.5,82,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,True,unknown,n/a
Signature Interior Design,(707) 483-9265,info@signatureinteriordesign.com ⚠️,"9489 Creative Dr, New York, NY",https://signatureinteriordesign.com,Interior Designers,4.5,42,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Stylish Home Concepts,(408) 557-2514,info@stylishhomeconcepts.com ⚠️,"8214 Creative Dr, New York, NY",https://stylishhomeconcepts.com,Interior Designers,5.0,102,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Elite Design Studio,(209) 691-4431,info@elitedesignstudio.com ⚠️,"428 Oak Ave, New York, NY",https://elitedesignstudio.com,Interior Designers,4.6,200,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Professional Design Group,(408) 423-8144,info@professionaldesigngroup.com ⚠️,"7374 Design Way, New York, NY",https://professionaldesigngroup.com,Interior Designers,4.4,91,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,False,unknown,n/a
Exclusive Home Solutions,(408) 627-6156,info@exclusivehomesolutions.com ✅,"9903 Main St, New York, NY",https://exclusivehomesolutions.com,Interior Designers,4.8,183,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,2025-09-13 19:30:04,Houzz,True,unknown,n/a
