Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Professional Interior Designers New York,(264) 707-1584,hello@interior designersservices.com,"7579 Washington Street, New York, NY",https://interior designersservices.com,Interior Designers Services,3.6,624,$$$$,West Side,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional interior designers services serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Expert Interior Designers Solutions New York,(503) 811-8453,contact@expertinterior designers.com,"5327 Washington Street, New York, NY",https://expertinterior designers.com,Interior Designers Expert,4.5,542,$,West Side,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional interior designers expert serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Premier Interior Designers Group New York,(422) 920-2479,service@premierinterior designers.com,"6260 Center Street, New York, NY",https://premierinterior designers.com,Interior Designers Group,4.3,45,$$,Downtown,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional interior designers group serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Metro Interior Designers Center New York,(744) 539-8523,team@metrointerior designers.com,"8278 Oak Avenue, New York, NY",https://metrointerior designers.com,Interior Designers Center,3.9,83,$,Uptown,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional interior designers center serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Elite Interior Designers Services New York,(999) 517-1328,contact@eliteinterior designers.com,"7523 Second Street, New York, NY",https://eliteinterior designers.com,Interior Designers Specialist,3.8,175,$$,East Side,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional interior designers specialist serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
City Interior Designers Solutions New York,(278) 293-1122,team@cityinterior designers.com,"7110 Main Street, New York, NY",https://cityinterior designers.com,Interior Designers Solutions,3.9,118,$$$$,Midtown,Mon-Sun: 24/7,Professional interior designers solutions serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Advanced Interior Designers Co New York,(970) 625-3838,connect@advancedinterior designers.com,"2229 Second Street, New York, NY",https://advancedinterior designers.com,Interior Designers Company,4.3,66,$$$,West Side,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional interior designers company serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Quality Interior Designers Services New York,(401) 858-9390,office@qualityinterior designers.com,"9292 Pine Street, New York, NY",https://qualityinterior designers.com,Interior Designers Provider,4.8,275,$,South District,Mon-Sun: 24/7,Professional interior designers provider serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Reliable Interior Designers Group New York,(933) 533-5543,info@reliableinterior designers.com,"1600 Oak Avenue, New York, NY",https://reliableinterior designers.com,Interior Designers Group,4.0,397,$$$,Central District,Tue-Sat: 9AM-7PM,Professional interior designers group serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Top Interior Designers Professionals New York,(480) 769-4108,hello@topinterior designers.com,"1371 Lincoln Avenue, New York, NY",https://topinterior designers.com,Interior Designers Professional,4.1,537,$,North End,Daily: 10AM-10PM,Professional interior designers professional serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Professional Interior Designers South New York,(512) 263-6452,connect@interior designersservices.com,"5422 Franklin Boulevard, New York, NY",https://interior designersservices.com,Interior Designers Services,4.1,418,$$,South District,Mon-Sat: 8AM-8PM,Professional interior designers services serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Expert Interior Designers Solutions North New York,(995) 288-6129,team@expertinterior designers385.com,"7433 Washington Street, New York, NY",https://expertinterior designers385.com,Interior Designers Expert,5.0,545,$$$,Midtown,Mon-Fri: 9AM-6PM,Professional interior designers expert serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Premier Interior Designers Group Central New York,(255) 449-4685,team@premierinterior designers709.com,"4548 Franklin Boulevard, New York, NY",https://premierinterior designers709.com,Interior Designers Group,3.7,575,$$$$,South District,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional interior designers group serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Metro Interior Designers Center South New York,(840) 771-4298,connect@metrointerior designers671.com,"7010 Commerce Drive, New York, NY",https://metrointerior designers671.com,Interior Designers Center,4.0,162,$,North End,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional interior designers center serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Elite Interior Designers Services Downtown New York,(898) 630-2029,connect@eliteinterior designers798.com,"4467 Pine Street, New York, NY",https://eliteinterior designers798.com,Interior Designers Specialist,3.8,46,$$$$,North End,Mon-Sat: 8AM-8PM,Professional interior designers specialist serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
City Interior Designers Solutions East New York,(966) 445-2198,support@cityinterior designers980.com,"1517 Second Street, New York, NY",https://cityinterior designers980.com,Interior Designers Solutions,4.8,433,$$$,Downtown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional interior designers solutions serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Advanced Interior Designers Co Downtown New York,(868) 853-1070,office@advancedinterior designers756.com,"8751 Oak Avenue, New York, NY",https://advancedinterior designers756.com,Interior Designers Company,4.7,584,$$,Central District,Tue-Sat: 9AM-7PM,Professional interior designers company serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Quality Interior Designers Services Central New York,(554) 527-5451,connect@qualityinterior designers848.com,"2385 Park Avenue, New York, NY",https://qualityinterior designers848.com,Interior Designers Provider,3.5,28,$$,Downtown,Daily: 10AM-10PM,Professional interior designers provider serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Reliable Interior Designers Group East New York,(352) 913-5398,connect@reliableinterior designers23.com,"1399 Business Boulevard, New York, NY",https://reliableinterior designers23.com,Interior Designers Group,4.7,494,$$$$,West Side,Mon-Sun: 24/7,Professional interior designers group serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Top Interior Designers Professionals West New York,(728) 946-9569,welcome@topinterior designers547.com,"4005 Lincoln Avenue, New York, NY",https://topinterior designers547.com,Interior Designers Professional,4.4,526,$$$$,North End,Mon-Fri: 9AM-6PM,Professional interior designers professional serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Professional Interior Designers New York #1,(473) 288-7929,support@interior designersservices543.com,"9650 Maple Avenue, New York, NY",https://interior designersservices543.com,Interior Designers Services,3.8,616,$$$,Uptown,Mon-Sun: 24/7,Professional interior designers services serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Expert Interior Designers Solutions New York #2,(704) 908-6591,contact@expertinterior designers3.com,"5080 Franklin Boulevard, New York, NY",https://expertinterior designers3.com,Interior Designers Expert,3.5,369,$$$$,Midtown,"Mon-Thu: 9AM-6PM, Fri-Sat: 9AM-8PM",Professional interior designers expert serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Premier Interior Designers Group New York #3,(754) 310-1163,admin@premierinterior designers273.com,"4009 Lincoln Avenue, New York, NY",https://premierinterior designers273.com,Interior Designers Group,4.0,455,$,Uptown,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional interior designers group serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Metro Interior Designers Center New York #4,(239) 845-7825,connect@metrointerior designers796.com,"9989 Lincoln Avenue, New York, NY",https://metrointerior designers796.com,Interior Designers Center,4.4,777,$$,East Side,Mon-Fri: 9AM-6PM,Professional interior designers center serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
Elite Interior Designers Services New York #5,(472) 861-6594,welcome@eliteinterior designers996.com,"6789 Broadway, New York, NY",https://eliteinterior designers996.com,Interior Designers Specialist,4.9,516,$$$$,Central District,"Mon-Fri: 8AM-5PM, Sat: 9AM-3PM",Professional interior designers specialist serving New York and surrounding areas,Yelp,2025-09-15 01:28:37
