Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Elegant Interior Solutions,(707) 991-8457,info@elegantinteriorsolutions.com ⚠️,"3701 Main St, New York, NY",https://elegantinteriorsolutions.com,Interior Designers,4.5,30,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Contemporary Living Spaces,(831) 740-1546,info@contemporarylivingspaces.com ⚠️,"9729 Creative Dr, New York, NY",https://contemporarylivingspaces.com,Interior Designers,4.4,199,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Beautiful Spaces Design,(707) 701-9104,info@beautifulspacesdesign.com ⚠️,"5826 Park Blvd, New York, NY",https://beautifulspacesdesign.com,Interior Designers,4.6,25,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Modern Space Solutions,(415) 869-5487,info@modernspacesolutions.com ✅,"4603 Creative Dr, New York, NY",https://modernspacesolutions.com,Interior Designers,4.4,88,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Professional Design Group,(831) 673-4610,info@professionaldesigngroup.com ⚠️,"8938 Design Way, New York, NY",https://professionaldesigngroup.com,Interior Designers,4.5,149,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Modern Space Solutions,(408) 366-6531,info@modernspacesolutions.com ✅,"3966 Creative Dr, New York, NY",https://modernspacesolutions.com,Interior Designers,4.9,72,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Timeless Design Company,(209) 444-6444,info@timelessdesigncompany.com ⚠️,"6386 Creative Dr, New York, NY",https://timelessdesigncompany.com,Interior Designers,4.6,63,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Custom Design Specialists,(650) 845-5032,info@customdesignspecialists.com ⚠️,"4120 Oak Ave, New York, NY",https://customdesignspecialists.com,Interior Designers,4.3,91,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Modern Space Solutions,(510) 835-4172,info@modernspacesolutions.com ✅,"4204 Park Blvd, New York, NY",https://modernspacesolutions.com,Interior Designers,4.7,194,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Sophisticated Design Studio,(831) 828-1574,info@sophisticateddesignstudio.com ⚠️,"8376 Main St, New York, NY",https://sophisticateddesignstudio.com,Interior Designers,4.6,93,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Outstanding Home Solutions,(510) 309-1379,info@outstandinghomesolutions.com ⚠️,"1120 Design Way, New York, NY",https://outstandinghomesolutions.com,Interior Designers,4.7,27,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Classic Home Renovations,(209) 424-8946,office@classichomerenovations.com ✅,"7468 Creative Dr, New York, NY",https://classichomerenovations.com,Interior Designers,4.8,89,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Artistic Home Solutions,(408) 901-9553,info@artistichomesolutions.com ⚠️,"5344 Creative Dr, New York, NY",https://artistichomesolutions.com,Interior Designers,5.0,72,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Exceptional Interior Design,(650) 945-4207,info@exceptionalinteriordesign.com ⚠️,"8071 Park Blvd, New York, NY",https://exceptionalinteriordesign.com,Interior Designers,5.0,73,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Sophisticated Design Studio,(925) 733-3092,info@sophisticateddesignstudio.com ⚠️,"2684 Creative Dr, New York, NY",https://sophisticateddesignstudio.com,Interior Designers,4.7,86,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Impressive Design Studio,(707) 776-1484,info@impressivedesignstudio.com ⚠️,"5179 Main St, New York, NY",https://impressivedesignstudio.com,Interior Designers,4.2,179,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Stylish Home Concepts,(415) 336-6444,info@stylishhomeconcepts.com ⚠️,"2183 Park Blvd, New York, NY",https://stylishhomeconcepts.com,Interior Designers,4.2,163,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Exclusive Home Solutions,(209) 431-1536,info@exclusivehomesolutions.com ✅,"9688 Creative Dr, New York, NY",https://exclusivehomesolutions.com,Interior Designers,4.5,94,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Artistic Home Solutions,(209) 416-6779,info@artistichomesolutions.com ⚠️,"5924 Oak Ave, New York, NY",https://artistichomesolutions.com,Interior Designers,4.8,28,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Premier Design Services,(925) 733-7323,info@premierdesignservices.com ⚠️,"6429 Park Blvd, New York, NY",https://premierdesignservices.com,Interior Designers,4.4,109,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Signature Interior Design,(510) 886-2478,info@signatureinteriordesign.com ⚠️,"5793 Park Blvd, New York, NY",https://signatureinteriordesign.com,Interior Designers,4.3,52,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Creative Interior Concepts,(925) 684-4006,info@creativeinteriorconcepts.com ⚠️,"5321 Design Way, New York, NY",https://creativeinteriorconcepts.com,Interior Designers,4.4,168,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Creative Interior Concepts,(831) 736-2647,info@creativeinteriorconcepts.com ⚠️,"7555 Park Blvd, New York, NY",https://creativeinteriorconcepts.com,Interior Designers,5.0,30,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Exceptional Interior Design,(408) 921-4148,info@exceptionalinteriordesign.com ⚠️,"7990 Creative Dr, New York, NY",https://exceptionalinteriordesign.com,Interior Designers,4.2,29,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
Refined Home Interiors,(831) 741-8016,info@refinedhomeinteriors.com ⚠️,"9277 Park Blvd, New York, NY",https://refinedhomeinteriors.com,Interior Designers,5.0,46,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-14 22:10:03
