business_name,phone,email,address,website,category,rating,review_count,price_range,neighborhood,hours,description,yelp_url,scraped_date,search_query,search_location
Bella Vista New York,(626) 660-4405,info@bellavista.com,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.4,159,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:29:51,restaurants,"New York, NY"
Bella Vista New York,(800) 864-7330,info@bellavista.com,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.7,790,$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:29:51,restaurants,"New York, NY"
Bella Vista New York,(247) 293-6579,info@bellavista.com,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,3.7,680,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:29:51,restaurants,"New York, NY"
Bella Vista New York,(839) 695-8523,info@bellavista.com,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,3.7,211,$$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:29:51,restaurants,"New York, NY"
Bella Vista New York,(972) 403-5411,info@bellavista.com,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.2,777,$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:29:51,restaurants,"New York, NY"
Bella Vista New York,(717) 463-2255,info@bellavista.com,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.7,206,$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:29:51,restaurants,"New York, NY"
Sakura Sushi New York,(417) 307-8275,orders@sakurasushi.com,"123 Pine Street, New York, NY",https://sakurasushi.com,Japanese Restaurant,5.0,465,$$$,Downtown,Mon-Sun: 9AM-9PM,Fresh sushi and Japanese cuisine,https://yelp.com/biz/sakura-sushi,2025-09-09 16:29:51,restaurants,"New York, NY"
Bella Vista New York,(901) 294-2199,info@bellavista.com,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.4,682,$$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:29:51,restaurants,"New York, NY"
Bella Vista New York,(882) 595-1502,info@bellavista.com,"245 Main Street, New York, NY",https://bellavista.com,Italian Restaurant,4.1,64,$,Downtown,Mon-Sun: 9AM-9PM,Authentic Italian cuisine,https://yelp.com/biz/bella-vista-restaurant,2025-09-09 16:29:51,restaurants,"New York, NY"
The Local Burger - New York,(424) 446-8184,hello@localburger.com,"678 Oak Avenue, New York, NY",https://localburger.com,American Restaurant,4.3,157,$,Downtown,Mon-Sun: 9AM-9PM,"Fresh, locally sourced burgers",https://yelp.com/biz/local-burger,2025-09-09 16:29:51,restaurants,"New York, NY"
