Business Name,Phone,Email,Address,Website,Category,Rating,Reviews,Price Range,Neighborhood,Hours,Description,Source,Scraped Date
Stylish Home Concepts,(650) 576-3364,info@stylishhomeconcepts.com ⚠️,"441 Design Way, Adelaide",https://stylishhomeconcepts.com,Interior Designers,4.9,29,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 23:34:36
Professional Design Group,(408) 224-7827,info@professionaldesigngroup.com ⚠️,"136 Design Way, Adelaide",https://professionaldesigngroup.com,Interior Designers,4.4,178,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 23:34:36
Premium Home Interiors,(650) 565-3843,info@premiumhomeinteriors.com ⚠️,"5134 Main St, Adelaide",https://premiumhomeinteriors.com,Interior Designers,4.7,182,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 23:34:36
Timeless Design Company,(408) 521-4186,info@timelessdesigncompany.com ⚠️,"7247 Design Way, Adelaide",https://timelessdesigncompany.com,Interior Designers,4.2,46,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 23:34:36
Sophisticated Design Studio,(510) 872-7606,info@sophisticateddesignstudio.com ⚠️,"148 Creative Dr, Adelaide",https://sophisticateddesignstudio.com,Interior Designers,4.4,80,$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 23:34:36
Timeless Design Company,(650) 764-9191,info@timelessdesigncompany.com ⚠️,"4971 Design Way, Adelaide",https://timelessdesigncompany.com,Interior Designers,4.8,76,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 23:34:36
Exclusive Home Solutions,(510) 266-4953,info@exclusivehomesolutions.com ✅,"2861 Main St, Adelaide",https://exclusivehomesolutions.com,Interior Designers,4.9,79,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 23:34:36
Signature Interior Design,(209) 956-4293,info@signatureinteriordesign.com ⚠️,"7538 Design Way, Adelaide",https://signatureinteriordesign.com,Interior Designers,4.6,59,$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 23:34:36
Elite Design Studio,(925) 312-1623,info@elitedesignstudio.com ⚠️,"9596 Park Blvd, Adelaide",https://elitedesignstudio.com,Interior Designers,4.8,44,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 23:34:36
Remarkable Interior Design,(650) 601-2044,info@remarkableinteriordesign.com ⚠️,"6321 Main St, Adelaide",https://remarkableinteriordesign.com,Interior Designers,4.7,97,$$$$,Houzz Listed,,Professional interior designers services specializing in high-quality home improvement and design solutions.,Houzz,2025-09-13 23:34:36
